approval_batch_id	review_domain	required_owner_or_evidence_role	candidate_rows	semantic_review_units	source_documents	blocking_conflict_pointers	suggested_sequence	review_instruction	recheck_disposition	recheck_reason
AP-DSP-SRC-01	fleet-dispatch	source-custodian-and-final-approver	135	120	31		after-candidate-baseline-entry-formation	按语义审阅簇共同查看多来源证据，但逐条确认范围、版本/哈希和规范文本；本建议不分配 REQ ID、不合并声明、不构成批准。	retired-as-final-approval-batch	面向12452条旧来源中的6449条未批准候选，未绑定当前348个REQ、精确当前文本、范围与验证方法；保留其领域和责任角色作为分批参考，不继承批准单位。
AP-DSP-SRC-02	fleet-dispatch	source-custodian-and-final-approver	8	6	5		after-candidate-baseline-entry-formation	按语义审阅簇共同查看多来源证据，但逐条确认范围、版本/哈希和规范文本；本建议不分配 REQ ID、不合并声明、不构成批准。	retired-as-final-approval-batch	面向12452条旧来源中的6449条未批准候选，未绑定当前348个REQ、精确当前文本、范围与验证方法；保留其领域和责任角色作为分批参考，不继承批准单位。
AP-GEN-AGR	general-project-scope	agreement-custodian-and-final-approver	95	90	1		after-candidate-baseline-entry-formation	按语义审阅簇共同查看多来源证据，但逐条确认范围、版本/哈希和规范文本；本建议不分配 REQ ID、不合并声明、不构成批准。	retired-as-final-approval-batch	面向12452条旧来源中的6449条未批准候选，未绑定当前348个REQ、精确当前文本、范围与验证方法；保留其领域和责任角色作为分批参考，不继承批准单位。
AP-GEN-BO	general-project-scope	business-owner-and-final-approver	14	14	2		after-candidate-baseline-entry-formation	按语义审阅簇共同查看多来源证据，但逐条确认范围、版本/哈希和规范文本；本建议不分配 REQ ID、不合并声明、不构成批准。	retired-as-final-approval-batch	面向12452条旧来源中的6449条未批准候选，未绑定当前348个REQ、精确当前文本、范围与验证方法；保留其领域和责任角色作为分批参考，不继承批准单位。
AP-GEN-DOM	general-project-scope	domain-owner-and-final-approver	6	6	1		after-candidate-baseline-entry-formation	按语义审阅簇共同查看多来源证据，但逐条确认范围、版本/哈希和规范文本；本建议不分配 REQ ID、不合并声明、不构成批准。	retired-as-final-approval-batch	面向12452条旧来源中的6449条未批准候选，未绑定当前348个REQ、精确当前文本、范围与验证方法；保留其领域和责任角色作为分批参考，不继承批准单位。
AP-GEN-IF	general-project-scope	interface-or-data-contract-owner-and-final-approver	10	10	1		after-candidate-baseline-entry-formation	按语义审阅簇共同查看多来源证据，但逐条确认范围、版本/哈希和规范文本；本建议不分配 REQ ID、不合并声明、不构成批准。	retired-as-final-approval-batch	面向12452条旧来源中的6449条未批准候选，未绑定当前348个REQ、精确当前文本、范围与验证方法；保留其领域和责任角色作为分批参考，不继承批准单位。
AP-GEN-OPS	general-project-scope	operations-or-acceptance-owner-and-final-approver	21	21	2		after-candidate-baseline-entry-formation	按语义审阅簇共同查看多来源证据，但逐条确认范围、版本/哈希和规范文本；本建议不分配 REQ ID、不合并声明、不构成批准。	retired-as-final-approval-batch	面向12452条旧来源中的6449条未批准候选，未绑定当前348个REQ、精确当前文本、范围与验证方法；保留其领域和责任角色作为分批参考，不继承批准单位。
AP-GEN-OWN	general-project-scope	assigned-responsible-owner-and-final-approver	28	28	2		after-candidate-baseline-entry-formation	按语义审阅簇共同查看多来源证据，但逐条确认范围、版本/哈希和规范文本；本建议不分配 REQ ID、不合并声明、不构成批准。	retired-as-final-approval-batch	面向12452条旧来源中的6449条未批准候选，未绑定当前348个REQ、精确当前文本、范围与验证方法；保留其领域和责任角色作为分批参考，不继承批准单位。
AP-GEN-PO	general-project-scope	product-owner-and-final-approver	12	12	2		after-candidate-baseline-entry-formation	按语义审阅簇共同查看多来源证据，但逐条确认范围、版本/哈希和规范文本；本建议不分配 REQ ID、不合并声明、不构成批准。	retired-as-final-approval-batch	面向12452条旧来源中的6449条未批准候选，未绑定当前348个REQ、精确当前文本、范围与验证方法；保留其领域和责任角色作为分批参考，不继承批准单位。
AP-GEN-SAFE	general-project-scope	hardware-safety-authority-and-final-approver	28	28	1		after-candidate-baseline-entry-formation	按语义审阅簇共同查看多来源证据，但逐条确认范围、版本/哈希和规范文本；本建议不分配 REQ ID、不合并声明、不构成批准。	retired-as-final-approval-batch	面向12452条旧来源中的6449条未批准候选，未绑定当前348个REQ、精确当前文本、范围与验证方法；保留其领域和责任角色作为分批参考，不继承批准单位。
AP-GEN-SRC	general-project-scope	source-custodian-and-final-approver	3	3	3		after-candidate-baseline-entry-formation	按语义审阅簇共同查看多来源证据，但逐条确认范围、版本/哈希和规范文本；本建议不分配 REQ ID、不合并声明、不构成批准。	retired-as-final-approval-batch	面向12452条旧来源中的6449条未批准候选，未绑定当前348个REQ、精确当前文本、范围与验证方法；保留其领域和责任角色作为分批参考，不继承批准单位。
AP-IAM-AGR	identity-security	agreement-custodian-and-final-approver	2	2	1		after-candidate-baseline-entry-formation	按语义审阅簇共同查看多来源证据，但逐条确认范围、版本/哈希和规范文本；本建议不分配 REQ ID、不合并声明、不构成批准。	retired-as-final-approval-batch	面向12452条旧来源中的6449条未批准候选，未绑定当前348个REQ、精确当前文本、范围与验证方法；保留其领域和责任角色作为分批参考，不继承批准单位。
AP-IAM-BO	identity-security	business-owner-and-final-approver	23	23	10		after-candidate-baseline-entry-formation	按语义审阅簇共同查看多来源证据，但逐条确认范围、版本/哈希和规范文本；本建议不分配 REQ ID、不合并声明、不构成批准。	retired-as-final-approval-batch	面向12452条旧来源中的6449条未批准候选，未绑定当前348个REQ、精确当前文本、范围与验证方法；保留其领域和责任角色作为分批参考，不继承批准单位。
AP-IAM-DOM	identity-security	domain-owner-and-final-approver	27	27	2		after-candidate-baseline-entry-formation	按语义审阅簇共同查看多来源证据，但逐条确认范围、版本/哈希和规范文本；本建议不分配 REQ ID、不合并声明、不构成批准。	retired-as-final-approval-batch	面向12452条旧来源中的6449条未批准候选，未绑定当前348个REQ、精确当前文本、范围与验证方法；保留其领域和责任角色作为分批参考，不继承批准单位。
AP-IAM-IF	identity-security	interface-or-data-contract-owner-and-final-approver	6	6	5		after-candidate-baseline-entry-formation	按语义审阅簇共同查看多来源证据，但逐条确认范围、版本/哈希和规范文本；本建议不分配 REQ ID、不合并声明、不构成批准。	retired-as-final-approval-batch	面向12452条旧来源中的6449条未批准候选，未绑定当前348个REQ、精确当前文本、范围与验证方法；保留其领域和责任角色作为分批参考，不继承批准单位。
AP-IAM-OPS	identity-security	operations-or-acceptance-owner-and-final-approver	3	3	2		after-candidate-baseline-entry-formation	按语义审阅簇共同查看多来源证据，但逐条确认范围、版本/哈希和规范文本；本建议不分配 REQ ID、不合并声明、不构成批准。	retired-as-final-approval-batch	面向12452条旧来源中的6449条未批准候选，未绑定当前348个REQ、精确当前文本、范围与验证方法；保留其领域和责任角色作为分批参考，不继承批准单位。
AP-IAM-OWN	identity-security	assigned-responsible-owner-and-final-approver	1	1	1		after-candidate-baseline-entry-formation	按语义审阅簇共同查看多来源证据，但逐条确认范围、版本/哈希和规范文本；本建议不分配 REQ ID、不合并声明、不构成批准。	retired-as-final-approval-batch	面向12452条旧来源中的6449条未批准候选，未绑定当前348个REQ、精确当前文本、范围与验证方法；保留其领域和责任角色作为分批参考，不继承批准单位。
AP-IAM-PO-01	identity-security	product-owner-and-final-approver	122	120	44		after-candidate-baseline-entry-formation	按语义审阅簇共同查看多来源证据，但逐条确认范围、版本/哈希和规范文本；本建议不分配 REQ ID、不合并声明、不构成批准。	retired-as-final-approval-batch	面向12452条旧来源中的6449条未批准候选，未绑定当前348个REQ、精确当前文本、范围与验证方法；保留其领域和责任角色作为分批参考，不继承批准单位。
AP-IAM-PO-02	identity-security	product-owner-and-final-approver	16	14	14		after-candidate-baseline-entry-formation	按语义审阅簇共同查看多来源证据，但逐条确认范围、版本/哈希和规范文本；本建议不分配 REQ ID、不合并声明、不构成批准。	retired-as-final-approval-batch	面向12452条旧来源中的6449条未批准候选，未绑定当前348个REQ、精确当前文本、范围与验证方法；保留其领域和责任角色作为分批参考，不继承批准单位。
AP-IAM-SAFE	identity-security	hardware-safety-authority-and-final-approver	3	3	3		after-candidate-baseline-entry-formation	按语义审阅簇共同查看多来源证据，但逐条确认范围、版本/哈希和规范文本；本建议不分配 REQ ID、不合并声明、不构成批准。	retired-as-final-approval-batch	面向12452条旧来源中的6449条未批准候选，未绑定当前348个REQ、精确当前文本、范围与验证方法；保留其领域和责任角色作为分批参考，不继承批准单位。
AP-IAM-SEC-01	identity-security	security-identity-owner-and-final-approver	120	120	28		after-candidate-baseline-entry-formation	按语义审阅簇共同查看多来源证据，但逐条确认范围、版本/哈希和规范文本；本建议不分配 REQ ID、不合并声明、不构成批准。	retired-as-final-approval-batch	面向12452条旧来源中的6449条未批准候选，未绑定当前348个REQ、精确当前文本、范围与验证方法；保留其领域和责任角色作为分批参考，不继承批准单位。
AP-IAM-SEC-02	identity-security	security-identity-owner-and-final-approver	71	69	28		after-candidate-baseline-entry-formation	按语义审阅簇共同查看多来源证据，但逐条确认范围、版本/哈希和规范文本；本建议不分配 REQ ID、不合并声明、不构成批准。	retired-as-final-approval-batch	面向12452条旧来源中的6449条未批准候选，未绑定当前348个REQ、精确当前文本、范围与验证方法；保留其领域和责任角色作为分批参考，不继承批准单位。
AP-IAM-SRC-01	identity-security	source-custodian-and-final-approver	120	120	10		after-candidate-baseline-entry-formation	按语义审阅簇共同查看多来源证据，但逐条确认范围、版本/哈希和规范文本；本建议不分配 REQ ID、不合并声明、不构成批准。	retired-as-final-approval-batch	面向12452条旧来源中的6449条未批准候选，未绑定当前348个REQ、精确当前文本、范围与验证方法；保留其领域和责任角色作为分批参考，不继承批准单位。
AP-IAM-SRC-02	identity-security	source-custodian-and-final-approver	120	120	29		after-candidate-baseline-entry-formation	按语义审阅簇共同查看多来源证据，但逐条确认范围、版本/哈希和规范文本；本建议不分配 REQ ID、不合并声明、不构成批准。	retired-as-final-approval-batch	面向12452条旧来源中的6449条未批准候选，未绑定当前348个REQ、精确当前文本、范围与验证方法；保留其领域和责任角色作为分批参考，不继承批准单位。
AP-IAM-SRC-03	identity-security	source-custodian-and-final-approver	179	102	18		after-candidate-baseline-entry-formation	按语义审阅簇共同查看多来源证据，但逐条确认范围、版本/哈希和规范文本；本建议不分配 REQ ID、不合并声明、不构成批准。	retired-as-final-approval-batch	面向12452条旧来源中的6449条未批准候选，未绑定当前348个REQ、精确当前文本、范围与验证方法；保留其领域和责任角色作为分批参考，不继承批准单位。
AP-IAM-SRC-04	identity-security	source-custodian-and-final-approver	45	24	26		after-candidate-baseline-entry-formation	按语义审阅簇共同查看多来源证据，但逐条确认范围、版本/哈希和规范文本；本建议不分配 REQ ID、不合并声明、不构成批准。	retired-as-final-approval-batch	面向12452条旧来源中的6449条未批准候选，未绑定当前348个REQ、精确当前文本、范围与验证方法；保留其领域和责任角色作为分批参考，不继承批准单位。
AP-LANG-BO	cross-domain-language	business-owner-and-final-approver	31	31	10		after-candidate-baseline-entry-formation	按语义审阅簇共同查看多来源证据，但逐条确认范围、版本/哈希和规范文本；本建议不分配 REQ ID、不合并声明、不构成批准。	retired-as-final-approval-batch	面向12452条旧来源中的6449条未批准候选，未绑定当前348个REQ、精确当前文本、范围与验证方法；保留其领域和责任角色作为分批参考，不继承批准单位。
AP-LANG-DOM	cross-domain-language	domain-owner-and-final-approver	94	94	2		after-candidate-baseline-entry-formation	按语义审阅簇共同查看多来源证据，但逐条确认范围、版本/哈希和规范文本；本建议不分配 REQ ID、不合并声明、不构成批准。	retired-as-final-approval-batch	面向12452条旧来源中的6449条未批准候选，未绑定当前348个REQ、精确当前文本、范围与验证方法；保留其领域和责任角色作为分批参考，不继承批准单位。
AP-LANG-SRC	cross-domain-language	source-custodian-and-final-approver	50	50	3		after-candidate-baseline-entry-formation	按语义审阅簇共同查看多来源证据，但逐条确认范围、版本/哈希和规范文本；本建议不分配 REQ ID、不合并声明、不构成批准。	retired-as-final-approval-batch	面向12452条旧来源中的6449条未批准候选，未绑定当前348个REQ、精确当前文本、范围与验证方法；保留其领域和责任角色作为分批参考，不继承批准单位。
AP-MES-AGR	mes-demand-data	agreement-custodian-and-final-approver	1	1	1		after-candidate-baseline-entry-formation	按语义审阅簇共同查看多来源证据，但逐条确认范围、版本/哈希和规范文本；本建议不分配 REQ ID、不合并声明、不构成批准。	retired-as-final-approval-batch	面向12452条旧来源中的6449条未批准候选，未绑定当前348个REQ、精确当前文本、范围与验证方法；保留其领域和责任角色作为分批参考，不继承批准单位。
AP-MES-BO	mes-demand-data	business-owner-and-final-approver	61	61	15		after-candidate-baseline-entry-formation	按语义审阅簇共同查看多来源证据，但逐条确认范围、版本/哈希和规范文本；本建议不分配 REQ ID、不合并声明、不构成批准。	retired-as-final-approval-batch	面向12452条旧来源中的6449条未批准候选，未绑定当前348个REQ、精确当前文本、范围与验证方法；保留其领域和责任角色作为分批参考，不继承批准单位。
AP-MES-DOM	mes-demand-data	domain-owner-and-final-approver	29	29	4		after-candidate-baseline-entry-formation	按语义审阅簇共同查看多来源证据，但逐条确认范围、版本/哈希和规范文本；本建议不分配 REQ ID、不合并声明、不构成批准。	retired-as-final-approval-batch	面向12452条旧来源中的6449条未批准候选，未绑定当前348个REQ、精确当前文本、范围与验证方法；保留其领域和责任角色作为分批参考，不继承批准单位。
AP-MES-IF	mes-demand-data	interface-or-data-contract-owner-and-final-approver	42	40	28		after-candidate-baseline-entry-formation	按语义审阅簇共同查看多来源证据，但逐条确认范围、版本/哈希和规范文本；本建议不分配 REQ ID、不合并声明、不构成批准。	retired-as-final-approval-batch	面向12452条旧来源中的6449条未批准候选，未绑定当前348个REQ、精确当前文本、范围与验证方法；保留其领域和责任角色作为分批参考，不继承批准单位。
AP-MES-OPS	mes-demand-data	operations-or-acceptance-owner-and-final-approver	21	21	3		after-candidate-baseline-entry-formation	按语义审阅簇共同查看多来源证据，但逐条确认范围、版本/哈希和规范文本；本建议不分配 REQ ID、不合并声明、不构成批准。	retired-as-final-approval-batch	面向12452条旧来源中的6449条未批准候选，未绑定当前348个REQ、精确当前文本、范围与验证方法；保留其领域和责任角色作为分批参考，不继承批准单位。
AP-MES-OWN	mes-demand-data	assigned-responsible-owner-and-final-approver	13	13	5		after-candidate-baseline-entry-formation	按语义审阅簇共同查看多来源证据，但逐条确认范围、版本/哈希和规范文本；本建议不分配 REQ ID、不合并声明、不构成批准。	retired-as-final-approval-batch	面向12452条旧来源中的6449条未批准候选，未绑定当前348个REQ、精确当前文本、范围与验证方法；保留其领域和责任角色作为分批参考，不继承批准单位。
AP-MES-PO	mes-demand-data	product-owner-and-final-approver	10	10	3		after-candidate-baseline-entry-formation	按语义审阅簇共同查看多来源证据，但逐条确认范围、版本/哈希和规范文本；本建议不分配 REQ ID、不合并声明、不构成批准。	retired-as-final-approval-batch	面向12452条旧来源中的6449条未批准候选，未绑定当前348个REQ、精确当前文本、范围与验证方法；保留其领域和责任角色作为分批参考，不继承批准单位。
AP-MES-SAFE	mes-demand-data	hardware-safety-authority-and-final-approver	8	8	6		after-candidate-baseline-entry-formation	按语义审阅簇共同查看多来源证据，但逐条确认范围、版本/哈希和规范文本；本建议不分配 REQ ID、不合并声明、不构成批准。	retired-as-final-approval-batch	面向12452条旧来源中的6449条未批准候选，未绑定当前348个REQ、精确当前文本、范围与验证方法；保留其领域和责任角色作为分批参考，不继承批准单位。
AP-MES-SRC-01	mes-demand-data	source-custodian-and-final-approver	120	120	2		after-candidate-baseline-entry-formation	按语义审阅簇共同查看多来源证据，但逐条确认范围、版本/哈希和规范文本；本建议不分配 REQ ID、不合并声明、不构成批准。	retired-as-final-approval-batch	面向12452条旧来源中的6449条未批准候选，未绑定当前348个REQ、精确当前文本、范围与验证方法；保留其领域和责任角色作为分批参考，不继承批准单位。
AP-MES-SRC-02	mes-demand-data	source-custodian-and-final-approver	120	120	1		after-candidate-baseline-entry-formation	按语义审阅簇共同查看多来源证据，但逐条确认范围、版本/哈希和规范文本；本建议不分配 REQ ID、不合并声明、不构成批准。	retired-as-final-approval-batch	面向12452条旧来源中的6449条未批准候选，未绑定当前348个REQ、精确当前文本、范围与验证方法；保留其领域和责任角色作为分批参考，不继承批准单位。
AP-MES-SRC-03	mes-demand-data	source-custodian-and-final-approver	120	120	5		after-candidate-baseline-entry-formation	按语义审阅簇共同查看多来源证据，但逐条确认范围、版本/哈希和规范文本；本建议不分配 REQ ID、不合并声明、不构成批准。	retired-as-final-approval-batch	面向12452条旧来源中的6449条未批准候选，未绑定当前348个REQ、精确当前文本、范围与验证方法；保留其领域和责任角色作为分批参考，不继承批准单位。
AP-MES-SRC-04	mes-demand-data	source-custodian-and-final-approver	120	120	16		after-candidate-baseline-entry-formation	按语义审阅簇共同查看多来源证据，但逐条确认范围、版本/哈希和规范文本；本建议不分配 REQ ID、不合并声明、不构成批准。	retired-as-final-approval-batch	面向12452条旧来源中的6449条未批准候选，未绑定当前348个REQ、精确当前文本、范围与验证方法；保留其领域和责任角色作为分批参考，不继承批准单位。
AP-MES-SRC-05	mes-demand-data	source-custodian-and-final-approver	157	120	30		after-candidate-baseline-entry-formation	按语义审阅簇共同查看多来源证据，但逐条确认范围、版本/哈希和规范文本；本建议不分配 REQ ID、不合并声明、不构成批准。	retired-as-final-approval-batch	面向12452条旧来源中的6449条未批准候选，未绑定当前348个REQ、精确当前文本、范围与验证方法；保留其领域和责任角色作为分批参考，不继承批准单位。
AP-MES-SRC-06	mes-demand-data	source-custodian-and-final-approver	70	37	11		after-candidate-baseline-entry-formation	按语义审阅簇共同查看多来源证据，但逐条确认范围、版本/哈希和规范文本；本建议不分配 REQ ID、不合并声明、不构成批准。	retired-as-final-approval-batch	面向12452条旧来源中的6449条未批准候选，未绑定当前348个REQ、精确当前文本、范围与验证方法；保留其领域和责任角色作为分批参考，不继承批准单位。
AP-NFR-AGR	nonfunctional	agreement-custodian-and-final-approver	25	25	1		after-candidate-baseline-entry-formation	按语义审阅簇共同查看多来源证据，但逐条确认范围、版本/哈希和规范文本；本建议不分配 REQ ID、不合并声明、不构成批准。	retired-as-final-approval-batch	面向12452条旧来源中的6449条未批准候选，未绑定当前348个REQ、精确当前文本、范围与验证方法；保留其领域和责任角色作为分批参考，不继承批准单位。
AP-NFR-DOM	nonfunctional	domain-owner-and-final-approver	5	5	1		after-candidate-baseline-entry-formation	按语义审阅簇共同查看多来源证据，但逐条确认范围、版本/哈希和规范文本；本建议不分配 REQ ID、不合并声明、不构成批准。	retired-as-final-approval-batch	面向12452条旧来源中的6449条未批准候选，未绑定当前348个REQ、精确当前文本、范围与验证方法；保留其领域和责任角色作为分批参考，不继承批准单位。
AP-NFR-OPS	nonfunctional	operations-or-acceptance-owner-and-final-approver	2	2	1		after-candidate-baseline-entry-formation	按语义审阅簇共同查看多来源证据，但逐条确认范围、版本/哈希和规范文本；本建议不分配 REQ ID、不合并声明、不构成批准。	retired-as-final-approval-batch	面向12452条旧来源中的6449条未批准候选，未绑定当前348个REQ、精确当前文本、范围与验证方法；保留其领域和责任角色作为分批参考，不继承批准单位。
AP-NFR-OWN	nonfunctional	assigned-responsible-owner-and-final-approver	1	1	1		after-candidate-baseline-entry-formation	按语义审阅簇共同查看多来源证据，但逐条确认范围、版本/哈希和规范文本；本建议不分配 REQ ID、不合并声明、不构成批准。	retired-as-final-approval-batch	面向12452条旧来源中的6449条未批准候选，未绑定当前348个REQ、精确当前文本、范围与验证方法；保留其领域和责任角色作为分批参考，不继承批准单位。
AP-NFR-PO	nonfunctional	product-owner-and-final-approver	1	1	1		after-candidate-baseline-entry-formation	按语义审阅簇共同查看多来源证据，但逐条确认范围、版本/哈希和规范文本；本建议不分配 REQ ID、不合并声明、不构成批准。	retired-as-final-approval-batch	面向12452条旧来源中的6449条未批准候选，未绑定当前348个REQ、精确当前文本、范围与验证方法；保留其领域和责任角色作为分批参考，不继承批准单位。
AP-NFR-SRC	nonfunctional	source-custodian-and-final-approver	21	18	8		after-candidate-baseline-entry-formation	按语义审阅簇共同查看多来源证据，但逐条确认范围、版本/哈希和规范文本；本建议不分配 REQ ID、不合并声明、不构成批准。	retired-as-final-approval-batch	面向12452条旧来源中的6449条未批准候选，未绑定当前348个REQ、精确当前文本、范围与验证方法；保留其领域和责任角色作为分批参考，不继承批准单位。
AP-RIOT-BO	riot-control	business-owner-and-final-approver	1	1	1		after-candidate-baseline-entry-formation	按语义审阅簇共同查看多来源证据，但逐条确认范围、版本/哈希和规范文本；本建议不分配 REQ ID、不合并声明、不构成批准。	retired-as-final-approval-batch	面向12452条旧来源中的6449条未批准候选，未绑定当前348个REQ、精确当前文本、范围与验证方法；保留其领域和责任角色作为分批参考，不继承批准单位。
AP-RIOT-DOM	riot-control	domain-owner-and-final-approver	18	18	1		after-candidate-baseline-entry-formation	按语义审阅簇共同查看多来源证据，但逐条确认范围、版本/哈希和规范文本；本建议不分配 REQ ID、不合并声明、不构成批准。	retired-as-final-approval-batch	面向12452条旧来源中的6449条未批准候选，未绑定当前348个REQ、精确当前文本、范围与验证方法；保留其领域和责任角色作为分批参考，不继承批准单位。
AP-RIOT-IF	riot-control	interface-or-data-contract-owner-and-final-approver	19	18	12		after-candidate-baseline-entry-formation	按语义审阅簇共同查看多来源证据，但逐条确认范围、版本/哈希和规范文本；本建议不分配 REQ ID、不合并声明、不构成批准。	retired-as-final-approval-batch	面向12452条旧来源中的6449条未批准候选，未绑定当前348个REQ、精确当前文本、范围与验证方法；保留其领域和责任角色作为分批参考，不继承批准单位。
AP-RIOT-OWN	riot-control	assigned-responsible-owner-and-final-approver	1	1	1		after-candidate-baseline-entry-formation	按语义审阅簇共同查看多来源证据，但逐条确认范围、版本/哈希和规范文本；本建议不分配 REQ ID、不合并声明、不构成批准。	retired-as-final-approval-batch	面向12452条旧来源中的6449条未批准候选，未绑定当前348个REQ、精确当前文本、范围与验证方法；保留其领域和责任角色作为分批参考，不继承批准单位。
AP-RIOT-PO	riot-control	product-owner-and-final-approver	8	8	3		after-candidate-baseline-entry-formation	按语义审阅簇共同查看多来源证据，但逐条确认范围、版本/哈希和规范文本；本建议不分配 REQ ID、不合并声明、不构成批准。	retired-as-final-approval-batch	面向12452条旧来源中的6449条未批准候选，未绑定当前348个REQ、精确当前文本、范围与验证方法；保留其领域和责任角色作为分批参考，不继承批准单位。
AP-RIOT-SAFE	riot-control	hardware-safety-authority-and-final-approver	4	4	4		after-candidate-baseline-entry-formation	按语义审阅簇共同查看多来源证据，但逐条确认范围、版本/哈希和规范文本；本建议不分配 REQ ID、不合并声明、不构成批准。	retired-as-final-approval-batch	面向12452条旧来源中的6449条未批准候选，未绑定当前348个REQ、精确当前文本、范围与验证方法；保留其领域和责任角色作为分批参考，不继承批准单位。
AP-RIOT-SRC-01	riot-control	source-custodian-and-final-approver	120	120	16		after-candidate-baseline-entry-formation	按语义审阅簇共同查看多来源证据，但逐条确认范围、版本/哈希和规范文本；本建议不分配 REQ ID、不合并声明、不构成批准。	retired-as-final-approval-batch	面向12452条旧来源中的6449条未批准候选，未绑定当前348个REQ、精确当前文本、范围与验证方法；保留其领域和责任角色作为分批参考，不继承批准单位。
AP-RIOT-SRC-02	riot-control	source-custodian-and-final-approver	71	65	28		after-candidate-baseline-entry-formation	按语义审阅簇共同查看多来源证据，但逐条确认范围、版本/哈希和规范文本；本建议不分配 REQ ID、不合并声明、不构成批准。	retired-as-final-approval-batch	面向12452条旧来源中的6449条未批准候选，未绑定当前348个REQ、精确当前文本、范围与验证方法；保留其领域和责任角色作为分批参考，不继承批准单位。
