"RequirementId"	"Source"	"Title"	"OriginalScope"	"CandidateClassification"	"FinalClassification"	"FinalReason"	"DependencyChain"	"MisclassificationRisk"	"ControlServerImpact"	"OnboardHmiImpact"	"SharedProtocolImpact"	"DecisionBasis"
"REQ-0011"	"../../../requirements/baselines/current-requirements-v1.0.0.md#req-0011"	"TransportDemand 是 DemandSeries 内的一代实例。当前 Demand GONE 后…"	"8005 MesIngest Windows Service、Host/领域投影、SQL Server、版本化 API/OpenAPI、MesIngestWatch 与外部可读目录"	"MVP 交互／安全依赖"	"MVP 交互／安全依赖"	"复核 02～11 票最终决议后保留候选结论：不要求在首期重建该条全部产品面，但MesIngest 目录与 Demand 事实中的事实、门禁或恢复语义是本旅程正确性/安全性的前置依赖；由决定 Demand 受理、执行身份与完成后防重边界 (../issues/02-decide-demand-acceptance-execution-identity-and-completion-deduplication.md)确认最小保留部分。"	"MesIngest 完整轮次→ExternallyReadableDemandCatalog/CatalogRevision→AcceptedDemandSnapshot→本地执行身份"	"误删可能让MesIngest 目录与 Demand 事实出现权威分叉、物理状态猜测、断联后重复副作用或无法恢复；误当完整首期功能则扩大范围。"	"读取并冻结目录身份；不得重建 MES 事实。"	"仅展示服务端已接受的 Demand 摘要，不自行读取 MES。"	"需要携带已接受执行身份和必要来源修订，不复制 MesIngest DTO。"	"决定 Demand 受理、执行身份与完成后防重边界 (../issues/02-decide-demand-acceptance-execution-identity-and-completion-deduplication.md)"
"REQ-0012"	"../../../requirements/baselines/current-requirements-v1.0.0.md#req-0012"	"当前 VISIBLE Demand 的唯一原始行实时形成 LiveMesFieldSet；AREA、EQP、…"	"8005 MesIngest Windows Service、Host/领域投影、SQL Server、版本化 API/OpenAPI、MesIngestWatch 与外部可读目录"	"MVP 交互／安全依赖"	"MVP 交互／安全依赖"	"复核 02～11 票最终决议后保留候选结论：不要求在首期重建该条全部产品面，但MesIngest 目录与 Demand 事实中的事实、门禁或恢复语义是本旅程正确性/安全性的前置依赖；由决定 Demand 受理、执行身份与完成后防重边界 (../issues/02-decide-demand-acceptance-execution-identity-and-completion-deduplication.md)确认最小保留部分。"	"MesIngest 完整轮次→ExternallyReadableDemandCatalog/CatalogRevision→AcceptedDemandSnapshot→本地执行身份"	"误删可能让MesIngest 目录与 Demand 事实出现权威分叉、物理状态猜测、断联后重复副作用或无法恢复；误当完整首期功能则扩大范围。"	"读取并冻结目录身份；不得重建 MES 事实。"	"仅展示服务端已接受的 Demand 摘要，不自行读取 MES。"	"需要携带已接受执行身份和必要来源修订，不复制 MesIngest DTO。"	"决定 Demand 受理、执行身份与完成后防重边界 (../issues/02-decide-demand-acceptance-execution-identity-and-completion-deduplication.md)"
"REQ-0013"	"../../../requirements/baselines/current-requirements-v1.0.0.md#req-0013"	"DuplicateTransportDemandKeyObservation 保存同键的全部规范化原始行，不…"	"8005 MesIngest Windows Service、Host/领域投影、SQL Server、版本化 API/OpenAPI、MesIngestWatch 与外部可读目录"	"MVP 交互／安全依赖"	"MVP 交互／安全依赖"	"复核 02～11 票最终决议后保留候选结论：不要求在首期重建该条全部产品面，但MesIngest 目录与 Demand 事实中的事实、门禁或恢复语义是本旅程正确性/安全性的前置依赖；由决定 Demand 受理、执行身份与完成后防重边界 (../issues/02-decide-demand-acceptance-execution-identity-and-completion-deduplication.md)确认最小保留部分。"	"MesIngest 完整轮次→ExternallyReadableDemandCatalog/CatalogRevision→AcceptedDemandSnapshot→本地执行身份"	"误删可能让MesIngest 目录与 Demand 事实出现权威分叉、物理状态猜测、断联后重复副作用或无法恢复；误当完整首期功能则扩大范围。"	"读取并冻结目录身份；不得重建 MES 事实。"	"仅展示服务端已接受的 Demand 摘要，不自行读取 MES。"	"需要携带已接受执行身份和必要来源修订，不复制 MesIngest DTO。"	"决定 Demand 受理、执行身份与完成后防重边界 (../issues/02-decide-demand-acceptance-execution-identity-and-completion-deduplication.md)"
"REQ-0014"	"../../../requirements/baselines/current-requirements-v1.0.0.md#req-0014"	"WorkType 来自 TASK_TYPE 并参与业务键；同一 SUBLOT 多 WorkType 各自形成…"	"8005 MesIngest Windows Service、Host/领域投影、SQL Server、版本化 API/OpenAPI、MesIngestWatch 与外部可读目录"	"MVP 交互／安全依赖"	"MVP 交互／安全依赖"	"复核 02～11 票最终决议后保留候选结论：不要求在首期重建该条全部产品面，但MesIngest 目录与 Demand 事实中的事实、门禁或恢复语义是本旅程正确性/安全性的前置依赖；由决定 Demand 受理、执行身份与完成后防重边界 (../issues/02-decide-demand-acceptance-execution-identity-and-completion-deduplication.md)确认最小保留部分。"	"MesIngest 完整轮次→ExternallyReadableDemandCatalog/CatalogRevision→AcceptedDemandSnapshot→本地执行身份"	"误删可能让MesIngest 目录与 Demand 事实出现权威分叉、物理状态猜测、断联后重复副作用或无法恢复；误当完整首期功能则扩大范围。"	"读取并冻结目录身份；不得重建 MES 事实。"	"仅展示服务端已接受的 Demand 摘要，不自行读取 MES。"	"需要携带已接受执行身份和必要来源修订，不复制 MesIngest DTO。"	"决定 Demand 受理、执行身份与完成后防重边界 (../issues/02-decide-demand-acceptance-execution-identity-and-completion-deduplication.md)"
"REQ-0015"	"../../../requirements/baselines/current-requirements-v1.0.0.md#req-0015"	"Demand 缺席只能由模块根据完整 SUCCESS、RestartBarrier 和 TaskTypePr…"	"8005 MesIngest Windows Service、Host/领域投影、SQL Server、版本化 API/OpenAPI、MesIngestWatch 与外部可读目录"	"MVP 交互／安全依赖"	"MVP 交互／安全依赖"	"复核 02～11 票最终决议后保留候选结论：不要求在首期重建该条全部产品面，但MesIngest 目录与 Demand 事实中的事实、门禁或恢复语义是本旅程正确性/安全性的前置依赖；由决定 Demand 受理、执行身份与完成后防重边界 (../issues/02-decide-demand-acceptance-execution-identity-and-completion-deduplication.md)确认最小保留部分。"	"MesIngest 完整轮次→ExternallyReadableDemandCatalog/CatalogRevision→AcceptedDemandSnapshot→本地执行身份"	"误删可能让MesIngest 目录与 Demand 事实出现权威分叉、物理状态猜测、断联后重复副作用或无法恢复；误当完整首期功能则扩大范围。"	"读取并冻结目录身份；不得重建 MES 事实。"	"仅展示服务端已接受的 Demand 摘要，不自行读取 MES。"	"需要携带已接受执行身份和必要来源修订，不复制 MesIngest DTO。"	"决定 Demand 受理、执行身份与完成后防重边界 (../issues/02-decide-demand-acceptance-execution-identity-and-completion-deduplication.md)"
"REQ-0016"	"../../../requirements/baselines/current-requirements-v1.0.0.md#req-0016"	"服务启动进入两轮重启保护：第一轮完整结果建立基线，第二轮结束保护，下一轮才拥有缺席权威。保护阶段仍可创建/更…"	"8005 MesIngest Windows Service、Host/领域投影、SQL Server、版本化 API/OpenAPI、MesIngestWatch 与外部可读目录"	"MVP 交互／安全依赖"	"MVP 交互／安全依赖"	"复核 02～11 票最终决议后保留候选结论：不要求在首期重建该条全部产品面，但MesIngest 目录与 Demand 事实中的事实、门禁或恢复语义是本旅程正确性/安全性的前置依赖；由决定 Demand 受理、执行身份与完成后防重边界 (../issues/02-decide-demand-acceptance-execution-identity-and-completion-deduplication.md)确认最小保留部分。"	"MesIngest 完整轮次→ExternallyReadableDemandCatalog/CatalogRevision→AcceptedDemandSnapshot→本地执行身份"	"误删可能让MesIngest 目录与 Demand 事实出现权威分叉、物理状态猜测、断联后重复副作用或无法恢复；误当完整首期功能则扩大范围。"	"读取并冻结目录身份；不得重建 MES 事实。"	"仅展示服务端已接受的 Demand 摘要，不自行读取 MES。"	"需要携带已接受执行身份和必要来源修订，不复制 MesIngest DTO。"	"决定 Demand 受理、执行身份与完成后防重边界 (../issues/02-decide-demand-acceptance-execution-identity-and-completion-deduplication.md)"
"REQ-0017"	"../../../requirements/baselines/current-requirements-v1.0.0.md#req-0017"	"PausedZeroDrop / TaskTypeProtection 沿用每 WorkType 健康非零基…"	"8005 MesIngest Windows Service、Host/领域投影、SQL Server、版本化 API/OpenAPI、MesIngestWatch 与外部可读目录"	"MVP 交互／安全依赖"	"MVP 交互／安全依赖"	"复核 02～11 票最终决议后保留候选结论：不要求在首期重建该条全部产品面，但MesIngest 目录与 Demand 事实中的事实、门禁或恢复语义是本旅程正确性/安全性的前置依赖；由决定 Demand 受理、执行身份与完成后防重边界 (../issues/02-decide-demand-acceptance-execution-identity-and-completion-deduplication.md)确认最小保留部分。"	"MesIngest 完整轮次→ExternallyReadableDemandCatalog/CatalogRevision→AcceptedDemandSnapshot→本地执行身份"	"误删可能让MesIngest 目录与 Demand 事实出现权威分叉、物理状态猜测、断联后重复副作用或无法恢复；误当完整首期功能则扩大范围。"	"读取并冻结目录身份；不得重建 MES 事实。"	"仅展示服务端已接受的 Demand 摘要，不自行读取 MES。"	"需要携带已接受执行身份和必要来源修订，不复制 MesIngest DTO。"	"决定 Demand 受理、执行身份与完成后防重边界 (../issues/02-decide-demand-acceptance-execution-identity-and-completion-deduplication.md)"
"REQ-0018"	"../../../requirements/baselines/current-requirements-v1.0.0.md#req-0018"	"有缺席权威的首个完整成功缺席轮次即把当前 Demand 标为 GONE；不再沿用旧版“连续两轮缺席才 GON…"	"8005 MesIngest Windows Service、Host/领域投影、SQL Server、版本化 API/OpenAPI、MesIngestWatch 与外部可读目录"	"MVP 交互／安全依赖"	"MVP 交互／安全依赖"	"复核 02～11 票最终决议后保留候选结论：不要求在首期重建该条全部产品面，但MesIngest 目录与 Demand 事实中的事实、门禁或恢复语义是本旅程正确性/安全性的前置依赖；由决定 Demand 受理、执行身份与完成后防重边界 (../issues/02-decide-demand-acceptance-execution-identity-and-completion-deduplication.md)确认最小保留部分。"	"MesIngest 完整轮次→ExternallyReadableDemandCatalog/CatalogRevision→AcceptedDemandSnapshot→本地执行身份"	"误删可能让MesIngest 目录与 Demand 事实出现权威分叉、物理状态猜测、断联后重复副作用或无法恢复；误当完整首期功能则扩大范围。"	"读取并冻结目录身份；不得重建 MES 事实。"	"仅展示服务端已接受的 Demand 摘要，不自行读取 MES。"	"需要携带已接受执行身份和必要来源修订，不复制 MesIngest DTO。"	"决定 Demand 受理、执行身份与完成后防重边界 (../issues/02-decide-demand-acceptance-execution-identity-and-completion-deduplication.md)"
"REQ-0019"	"../../../requirements/baselines/current-requirements-v1.0.0.md#req-0019"	"DemandSeries 从 GoneConfirmedAt 起连续 GONE 满 12 小时后，只能在后续…"	"8005 MesIngest Windows Service、Host/领域投影、SQL Server、版本化 API/OpenAPI、MesIngestWatch 与外部可读目录"	"MVP 交互／安全依赖"	"MVP 交互／安全依赖"	"复核 02～11 票最终决议后保留候选结论：不要求在首期重建该条全部产品面，但MesIngest 目录与 Demand 事实中的事实、门禁或恢复语义是本旅程正确性/安全性的前置依赖；由决定 Demand 受理、执行身份与完成后防重边界 (../issues/02-decide-demand-acceptance-execution-identity-and-completion-deduplication.md)确认最小保留部分。"	"MesIngest 完整轮次→ExternallyReadableDemandCatalog/CatalogRevision→AcceptedDemandSnapshot→本地执行身份"	"误删可能让MesIngest 目录与 Demand 事实出现权威分叉、物理状态猜测、断联后重复副作用或无法恢复；误当完整首期功能则扩大范围。"	"读取并冻结目录身份；不得重建 MES 事实。"	"仅展示服务端已接受的 Demand 摘要，不自行读取 MES。"	"需要携带已接受执行身份和必要来源修订，不复制 MesIngest DTO。"	"决定 Demand 受理、执行身份与完成后防重边界 (../issues/02-decide-demand-acceptance-execution-identity-and-completion-deduplication.md)"
"REQ-0020"	"../../../requirements/baselines/current-requirements-v1.0.0.md#req-0020"	"归档是不可逆生命周期转换。归档后重现继续原 Series 并创建新的 Watch Demand 世代，但产生…"	"8005 MesIngest Windows Service、Host/领域投影、SQL Server、版本化 API/OpenAPI、MesIngestWatch 与外部可读目录"	"MVP 交互／安全依赖"	"MVP 交互／安全依赖"	"复核 02～11 票最终决议后保留候选结论：不要求在首期重建该条全部产品面，但MesIngest 目录与 Demand 事实中的事实、门禁或恢复语义是本旅程正确性/安全性的前置依赖；由决定 Demand 受理、执行身份与完成后防重边界 (../issues/02-decide-demand-acceptance-execution-identity-and-completion-deduplication.md)确认最小保留部分。"	"MesIngest 完整轮次→ExternallyReadableDemandCatalog/CatalogRevision→AcceptedDemandSnapshot→本地执行身份"	"误删可能让MesIngest 目录与 Demand 事实出现权威分叉、物理状态猜测、断联后重复副作用或无法恢复；误当完整首期功能则扩大范围。"	"读取并冻结目录身份；不得重建 MES 事实。"	"仅展示服务端已接受的 Demand 摘要，不自行读取 MES。"	"需要携带已接受执行身份和必要来源修订，不复制 MesIngest DTO。"	"决定 Demand 受理、执行身份与完成后防重边界 (../issues/02-decide-demand-acceptance-execution-identity-and-completion-deduplication.md)"
"REQ-0021"	"../../../requirements/baselines/current-requirements-v1.0.0.md#req-0021"	"SeriesErrorCatalog 由领域契约版本化发布。第一版五个代码和四个主分类固定；代码可以新增或 …"	"8005 MesIngest Windows Service、Host/领域投影、SQL Server、版本化 API/OpenAPI、MesIngestWatch 与外部可读目录"	"MVP 交互／安全依赖"	"MVP 交互／安全依赖"	"复核 02～11 票最终决议后保留候选结论：不要求在首期重建该条全部产品面，但MesIngest 目录与 Demand 事实中的事实、门禁或恢复语义是本旅程正确性/安全性的前置依赖；由决定 Demand 受理、执行身份与完成后防重边界 (../issues/02-decide-demand-acceptance-execution-identity-and-completion-deduplication.md)确认最小保留部分。"	"MesIngest 完整轮次→ExternallyReadableDemandCatalog/CatalogRevision→AcceptedDemandSnapshot→本地执行身份"	"误删可能让MesIngest 目录与 Demand 事实出现权威分叉、物理状态猜测、断联后重复副作用或无法恢复；误当完整首期功能则扩大范围。"	"读取并冻结目录身份；不得重建 MES 事实。"	"仅展示服务端已接受的 Demand 摘要，不自行读取 MES。"	"需要携带已接受执行身份和必要来源修订，不复制 MesIngest DTO。"	"决定 Demand 受理、执行身份与完成后防重边界 (../issues/02-decide-demand-acceptance-execution-identity-and-completion-deduplication.md)"
"REQ-0022"	"../../../requirements/baselines/current-requirements-v1.0.0.md#req-0022"	"DemandSeriesCurrentCondition 是 DemandSeriesEvent 的当前投影…"	"8005 MesIngest Windows Service、Host/领域投影、SQL Server、版本化 API/OpenAPI、MesIngestWatch 与外部可读目录"	"MVP 交互／安全依赖"	"MVP 交互／安全依赖"	"复核 02～11 票最终决议后保留候选结论：不要求在首期重建该条全部产品面，但MesIngest 目录与 Demand 事实中的事实、门禁或恢复语义是本旅程正确性/安全性的前置依赖；由决定 Demand 受理、执行身份与完成后防重边界 (../issues/02-decide-demand-acceptance-execution-identity-and-completion-deduplication.md)确认最小保留部分。"	"MesIngest 完整轮次→ExternallyReadableDemandCatalog/CatalogRevision→AcceptedDemandSnapshot→本地执行身份"	"误删可能让MesIngest 目录与 Demand 事实出现权威分叉、物理状态猜测、断联后重复副作用或无法恢复；误当完整首期功能则扩大范围。"	"读取并冻结目录身份；不得重建 MES 事实。"	"仅展示服务端已接受的 Demand 摘要，不自行读取 MES。"	"需要携带已接受执行身份和必要来源修订，不复制 MesIngest DTO。"	"决定 Demand 受理、执行身份与完成后防重边界 (../issues/02-decide-demand-acceptance-execution-identity-and-completion-deduplication.md)"
