cluster_id	representative_candidate_id	member_count	batch_count	source_count	relation_types	review_dispositions	applicable_scopes	version_scope_pointers	member_candidate_ids	representative_statement	review_note
SC-0014	R01-A0208	2	1	2	semantic-near-review	approval-candidate-not-approved	MES-integration,dispatch-and-fleet,onboard-and-site-operations		R01-A0208,R01-A0767	成功时一次分配并批量打开等量仓位。	仅供共同审阅；保留每条来源、范围、版本与批准状态，不自动合并或删除。
SC-0015	R01-A0209	2	1	2	semantic-near-review	approval-candidate-not-approved	MES-integration,dispatch-and-fleet,onboard-and-site-operations		R01-A0209,R01-A0770	有效装载仍以目标仓位有物关门为准；	仅供共同审阅；保留每条来源、范围、版本与批准状态，不自动合并或删除。
SC-0016	R01-A0211	2	1	2	semantic-near-review	approval-candidate-not-approved	MES-integration,dispatch-and-fleet,onboard-and-site-operations		R01-A0211,R01-A0363	RCS/RIOT 地图提供 `station_id ↔ station_name`；	仅供共同审阅；保留每条来源、范围、版本与批准状态，不自动合并或删除。
SC-0017	R01-A0213	2	2	2	semantic-near-review	approval-candidate-not-approved,hold-for-hitl-conflict-decision	MES-integration,dispatch-and-fleet,onboard-and-site-operations | dispatch-map-and-RIoT		R01-A0213,R02-A0334	`station_name → area_code[]` 由站点命名规则派生，最多 3 个 AREA；	仅供共同审阅；保留每条来源、范围、版本与批准状态，不自动合并或删除。
SC-0018	R01-A0220	4	1	1	exact-text-duplicate	approval-candidate-not-approved	MES-integration,dispatch-and-fleet | MES-integration,dispatch-and-fleet,onboard-and-site-operations		R01-A0220,R01-A0241,R01-A0250,R01-A0265	目录登记：[`../catalog/queries.md`](../catalog/queries.md)	仅供共同审阅；保留每条来源、范围、版本与批准状态，不自动合并或删除。
SC-0019	R01-A0221	4	3	4	semantic-near-review	approval-candidate-not-approved	8005-MesIngest-six-task-unified-query-contract | 8005-factory-MES-readonly-run-and-limited-observation | MES-integration,dispatch-and-fleet,onboard-and-site-operations | historical-MesIngest-phase-1-scope-current-applicability-needs-source-binding-and-reapproval	BOUND-R11-001,BOUND-R12-001	R01-A0221,R11-A0028,R11-A0066,R12-A0090	输出契约：`TASK_TYPE、SUBLOT、AREA、EQP、STEP、DATES、PACKAGE`，共 7 字段。	仅供共同审阅；保留每条来源、范围、版本与批准状态，不自动合并或删除。 含显式版本/范围指针，任何统一文本必须另行证明适用范围。
SC-0020	R01-A0245	2	1	2	semantic-near-review	approval-candidate-not-approved,hold-for-question-or-reframing	MES-integration,dispatch-and-fleet		R01-A0245,R01-A0744	容量参考：[`../reference/package-basket-capacity.md`](../reference/package-basket-capacity.md)	仅供共同审阅；保留每条来源、范围、版本与批准状态，不自动合并或删除。
SC-0021	R01-A0248	2	2	2	semantic-near-review	approval-candidate-not-approved	8005-operator-identity-resolution-only | MES-integration,dispatch-and-fleet,onboard-and-site-operations		R01-A0248,R11-A0079	目的：按工号解析操作员姓名，用于身份核验、操作会话和审计。	仅供共同审阅；保留每条来源、范围、版本与批准状态，不自动合并或删除。
SC-0022	R01-A0269	2	2	2	exact-text-duplicate	approval-candidate-not-approved	MES-integration,dispatch-and-fleet | MES-integration-and-transport-demand		R01-A0269,R02-A0838	性能目标：正常不超过 5 秒；	仅供共同审阅；保留每条来源、范围、版本与批准状态，不自动合并或删除。
SC-0023	R01-A0271	2	2	2	normalized-text-duplicate	approval-candidate-not-approved	MES-integration,dispatch-and-fleet | MES-integration-and-transport-demand		R01-A0271,R02-A0840	30 秒硬超时。	仅供共同审阅；保留每条来源、范围、版本与批准状态，不自动合并或删除。
SC-0024	R01-A0272	2	2	2	exact-text-duplicate	approval-candidate-not-approved	MES-integration,dispatch-and-fleet | MES-integration-and-transport-demand		R01-A0272,R02-A0841	连续 3 轮失败产生高级报警。	仅供共同审阅；保留每条来源、范围、版本与批准状态，不自动合并或删除。
SC-0025	R01-A0296	2	1	2	normalized-text-duplicate	hold-for-question-or-reframing	MES-integration,dispatch-and-fleet		R01-A0296,R01-A0733	顺路取货允许的最大配送延迟。	仅供共同审阅；保留每条来源、范围、版本与批准状态，不自动合并或删除。
SC-0026	R01-A0369	2	2	2	normalized-text-duplicate	approval-candidate-not-approved	MES-integration,dispatch-and-fleet | MES-integration-and-transport-demand	AD-R01-001	R01-A0369,R02-A0935	MES 的 STEP 不能替代本系统任务类型。	仅供共同审阅；保留每条来源、范围、版本与批准状态，不自动合并或删除。 含显式版本/范围指针，任何统一文本必须另行证明适用范围。
SC-0027	R01-A0379	2	1	1	exact-text-duplicate	approval-candidate-not-approved	MES-integration,dispatch-and-fleet		R01-A0379,R01-A0384	起点：查询结果中 EQP/AREA 映射到的装片机台 AGV 站点。	仅供共同审阅；保留每条来源、范围、版本与批准状态，不自动合并或删除。
SC-0028	R01-A0381	2	1	1	exact-text-duplicate	approval-candidate-not-approved	MES-integration,dispatch-and-fleet		R01-A0381,R01-A0386	查询结果 AREA 表示装片完工机台的位置。	仅供共同审阅；保留每条来源、范围、版本与批准状态，不自动合并或删除。
SC-0029	R01-A0389	2	1	1	exact-text-duplicate	approval-candidate-not-approved	MES-integration,dispatch-and-fleet		R01-A0389,R01-A0395	起点：查询结果中 EQP/AREA 映射到的焊线或键合机台 AGV 站点。	仅供共同审阅；保留每条来源、范围、版本与批准状态，不自动合并或删除。
SC-0030	R01-A0392	2	1	1	exact-text-duplicate	approval-candidate-not-approved	MES-integration,dispatch-and-fleet		R01-A0392,R01-A0398	查询结果 AREA 表示焊线或键合完工机台的位置。	仅供共同审阅；保留每条来源、范围、版本与批准状态，不自动合并或删除。
SC-0031	R01-A0402	2	2	2	semantic-near-review	approval-candidate-not-approved	MES-integration,dispatch-and-fleet | MES-integration-and-transport-demand		R01-A0402,R02-A0949	终点：查询结果中 EQP/AREA 映射到的指定焊线或键合机台 AGV 站点。	仅供共同审阅；保留每条来源、范围、版本与批准状态，不自动合并或删除。
SC-0032	R01-A0432	5	2	4	exact-text-duplicate,normalized-text-duplicate	approval-candidate-not-approved,hold-for-hitl-conflict-decision	MES-integration,dispatch-and-fleet | MES-integration-and-transport-demand		R01-A0432,R01-A0704,R02-A0008,R02-A0113,R02-A0880	当前阶段本系统只读查询 MES，不做任何回写；	仅供共同审阅；保留每条来源、范围、版本与批准状态，不自动合并或删除。
SC-0033	R01-A0433	4	2	3	semantic-near-review	approval-candidate-not-approved,hold-for-hitl-conflict-decision	MES-integration,dispatch-and-fleet | MES-integration-and-transport-demand		R01-A0433,R01-A0705,R02-A0009,R02-A0114	是否在未来阶段回写留作远期评估事项，评审确认前禁止实现任何 MES 写操作。	仅供共同审阅；保留每条来源、范围、版本与批准状态，不自动合并或删除。
SC-0034	R01-A0435	2	1	1	normalized-text-duplicate	approval-candidate-not-approved	MES-integration,dispatch-and-fleet		R01-A0435,R01-A0706	MES 数据库为 Oracle。	仅供共同审阅；保留每条来源、范围、版本与批准状态，不自动合并或删除。
SC-0035	R01-A0446	2	2	2	semantic-near-review	approval-candidate-not-approved,hold-for-hitl-conflict-decision	MES-integration,dispatch-and-fleet | MES-integration-and-transport-demand		R01-A0446,R02-A0829	开发和测试中的人工任务属于Mock任务，使用独立`MOCK_TASK_ID`和`TASK_SOURCE = MOCK`，不占用正式MES任务幂等键。	仅供共同审阅；保留每条来源、范围、版本与批准状态，不自动合并或删除。
SC-0036	R02-A0835	2	2	2	normalized-text-duplicate	approval-candidate-not-approved,excluded-not-for-requirement-approval	MES-integration,dispatch-and-fleet | MES-integration-and-transport-demand		R01-A0478,R02-A0835	不得并发启动、重叠或堆积查询。	仅供共同审阅；保留每条来源、范围、版本与批准状态，不自动合并或删除。
SC-0037	R02-A0857	2	2	2	exact-text-duplicate	approval-candidate-not-approved,excluded-not-for-requirement-approval	MES-integration,dispatch-and-fleet | MES-integration-and-transport-demand		R01-A0479,R02-A0857	对仍存在的本地任务更新 `mes_last_seen_at` 并将消失计数归零。	仅供共同审阅；保留每条来源、范围、版本与批准状态，不自动合并或删除。
SC-0038	R02-A0875	2	2	2	exact-text-duplicate	approval-candidate-not-approved,excluded-not-for-requirement-approval	MES-integration,dispatch-and-fleet | MES-integration-and-transport-demand		R01-A0564,R02-A0875	第一次查询的每类型数量单独保存为恢复基线；	仅供共同审阅；保留每条来源、范围、版本与批准状态，不自动合并或删除。
SC-0039	R01-A0573	2	2	2	semantic-near-review	approval-candidate-not-approved	MES-integration,dispatch-and-fleet | MES-integration-and-transport-demand		R01-A0573,R02-A0842	固定系统上线基线时间为 `2026-08-01 00:00:00`，由应用层过滤，不修改客户 IT 提供的原始 SQL。	仅供共同审阅；保留每条来源、范围、版本与批准状态，不自动合并或删除。
SC-0040	R01-A0592	3	1	3	exact-text-duplicate,semantic-near-review	approval-candidate-not-approved	MES-integration,dispatch-and-fleet,onboard-and-site-operations | dispatch-and-fleet,onboard-and-site-operations		R01-A0592,R01-A1205,R01-A2137	跨起点类型禁止：在装片机台不能收取起点属于焊线/键合区域或派工待送区的产品；	仅供共同审阅；保留每条来源、范围、版本与批准状态，不自动合并或删除。
SC-0041	R01-A0603	2	2	2	semantic-near-review	approval-candidate-not-approved	MES-integration,dispatch-and-fleet,onboard-and-site-operations | dispatch-map-and-RIoT		R01-A0603,R02-A0244	第 5 类任务进入“等待上游卸货”状态，上游在派工待送区卸货完成后才能释放调度。	仅供共同审阅；保留每条来源、范围、版本与批准状态，不自动合并或删除。
SC-0042	R01-A0633	2	2	2	semantic-near-review	approval-candidate-not-approved	MES-integration,dispatch-and-fleet | slot-hardware-and-material-handling		R01-A0633,R02-A0913	装货和卸货均由系统自动打开对应仓门；	仅供共同审阅；保留每条来源、范围、版本与批准状态，不自动合并或删除。
SC-0043	R01-A0634	2	2	2	semantic-near-review	approval-candidate-not-approved	MES-integration,dispatch-and-fleet,onboard-and-site-operations | slot-hardware-and-material-handling		R01-A0634,R02-A0914	用户关闭仓门并结合传感器确认该仓位本次操作完成。	仅供共同审阅；保留每条来源、范围、版本与批准状态，不自动合并或删除。
SC-0044	R01-A0640	2	2	2	semantic-near-review	approval-candidate-not-approved	8005-operator-identity-resolution-only | MES-integration,dispatch-and-fleet,onboard-and-site-operations		R01-A0640,R11-A0082	输出 `operator_name`：操作员姓名，对应 MES `mv_fw_username.username`	仅供共同审阅；保留每条来源、范围、版本与批准状态，不自动合并或删除。
SC-0045	R01-A0680	2	2	2	normalized-text-duplicate	excluded-not-for-requirement-approval	MES-integration,dispatch-and-fleet | workflow-engine-and-governance		R01-A0680,R03-A1947	新版本只影响之后创建且尚未绑定模板的实例；	仅供共同审阅；保留每条来源、范围、版本与批准状态，不自动合并或删除。
SC-0046	R01-A0717	2	2	2	semantic-near-review	approval-candidate-not-approved,hold-for-hitl-conflict-decision	MES-integration,dispatch-and-fleet | MES-integration-and-transport-demand		R01-A0717,R02-A0828	正式生产任务只能由MES查询产生，不提供人工创建入口。	仅供共同审阅；保留每条来源、范围、版本与批准状态，不自动合并或删除。
SC-0047	R02-A0992	2	2	2	semantic-near-review	approval-candidate-not-approved,hold-for-question-or-reframing	MES-integration,dispatch-and-fleet | dispatch-map-and-RIoT		R01-A0728,R02-A0992	无车辆响应升级。	仅供共同审阅；保留每条来源、范围、版本与批准状态，不自动合并或删除。
SC-0048	R01-A0856	2	1	2	exact-text-duplicate	evidence-only	MES-integration | onboard-and-site-operations		R01-A0856,R01-A0862	`query.sql` 是 2026-07-16 按当时最新正式 SQL 保存的来源快照，不代表另一个正式版本。	仅供共同审阅；保留每条来源、范围、版本与批准状态，不自动合并或删除。
SC-0049	R01-A0858	2	1	2	exact-text-duplicate	excluded-not-for-requirement-approval	MES-integration | onboard-and-site-operations		R01-A0858,R01-A0864	本目录仅用于客户来源追溯和差异研究，不得作为应用、测试工具或部署流程的运行时依赖。	仅供共同审阅；保留每条来源、范围、版本与批准状态，不自动合并或删除。
SC-0050	R01-A0860	2	1	2	exact-text-duplicate	excluded-not-for-requirement-approval	MES-integration | onboard-and-site-operations		R01-A0860,R01-A0866	后续客户变更应建立新的日期快照，不覆盖本目录。	仅供共同审阅；保留每条来源、范围、版本与批准状态，不自动合并或删除。
SC-0051	R01-A0921	3	1	1	exact-text-duplicate	approval-candidate-not-approved	equipment-agreement-and-acceptance		R01-A0921,R01-A0923,R01-A0926	派遣非原产工程师需得到买方认可。	仅供共同审阅；保留每条来源、范围、版本与批准状态，不自动合并或删除。
SC-0052	R01-A0986	4	1	1	exact-text-duplicate	approval-candidate-not-approved	equipment-agreement-and-acceptance		R01-A0986,R01-A0987,R01-A0988,R01-A0989	设备指标=设备必须达到的技术指标 | 考核项目=。	仅供共同审阅；保留每条来源、范围、版本与批准状态，不自动合并或删除。
SC-0053	R01-A1037	2	1	2	exact-text-duplicate	approval-candidate-not-approved	dispatch-and-fleet,onboard-and-site-operations		R01-A1037,R01-A1981	草稿	仅供共同审阅；保留每条来源、范围、版本与批准状态，不自动合并或删除。
SC-0054	R01-A1038	2	1	2	exact-text-duplicate	approval-candidate-not-approved	dispatch-and-fleet,onboard-and-site-operations		R01-A1038,R01-A1982	2026-07-14	仅供共同审阅；保留每条来源、范围、版本与批准状态，不自动合并或删除。
SC-0055	R01-A1039	2	1	2	exact-text-duplicate	approval-candidate-not-approved	dispatch-and-fleet,onboard-and-site-operations		R01-A1039,R01-A1983	供宿迁长电客户讨论、对齐业务理解与待确认事项；	仅供共同审阅；保留每条来源、范围、版本与批准状态，不自动合并或删除。
SC-0056	R01-A1040	2	1	2	exact-text-duplicate	approval-candidate-not-approved	dispatch-and-fleet,onboard-and-site-operations,equipment-agreement-and-acceptance		R01-A1040,R01-A1984	非正式合同文本，不作为验收或商务承诺依据	仅供共同审阅；保留每条来源、范围、版本与批准状态，不自动合并或删除。
SC-0057	R01-A1041	2	1	2	exact-text-duplicate	evidence-only	dispatch-and-fleet,onboard-and-site-operations		R01-A1041,R01-A1985	本文档面向业务与现场管理读者，用业务语言说明多仓位 AGV 系统打算解决什么问题、覆盖哪些范围、现场如何作业，以及当前仍需与贵方确认的事项。	仅供共同审阅；保留每条来源、范围、版本与批准状态，不自动合并或删除。
SC-0058	R01-A1042	2	1	2	normalized-text-duplicate	evidence-only	dispatch-and-fleet,onboard-and-site-operations		R01-A1042,R01-A1986	**如何使用「待确认问题清单」**	仅供共同审阅；保留每条来源、范围、版本与批准状态，不自动合并或删除。
SC-0059	R01-A1043	2	1	2	exact-text-duplicate	evidence-only	dispatch-and-fleet,onboard-and-site-operations		R01-A1043,R01-A1987	各场景末尾的「待确认」列出尚未拍板或需贵方补充的问题。	仅供共同审阅；保留每条来源、范围、版本与批准状态，不自动合并或删除。
SC-0060	R01-A1044	2	1	2	exact-text-duplicate	evidence-only	dispatch-and-fleet,onboard-and-site-operations		R01-A1044,R01-A1988	讨论时可直接在清单上勾选、批注或补充新问题。	仅供共同审阅；保留每条来源、范围、版本与批准状态，不自动合并或删除。
SC-0061	R01-A1045	2	1	2	exact-text-duplicate	evidence-only	dispatch-and-fleet,onboard-and-site-operations		R01-A1045,R01-A1989	确认结果将回写到后续正式需求与实现计划中；	仅供共同审阅；保留每条来源、范围、版本与批准状态，不自动合并或删除。
SC-0062	R01-A1046	2	1	2	exact-text-duplicate	evidence-only	dispatch-and-fleet,onboard-and-site-operations		R01-A1046,R01-A1990	本稿本身不随讨论实时修订为合同条款。	仅供共同审阅；保留每条来源、范围、版本与批准状态，不自动合并或删除。
SC-0063	R01-A1047	2	1	2	normalized-text-duplicate	evidence-only	dispatch-and-fleet,onboard-and-site-operations		R01-A1047,R01-A1991	**场景如何组织**	仅供共同审阅；保留每条来源、范围、版本与批准状态，不自动合并或删除。
SC-0064	R01-A1048	2	1	2	exact-text-duplicate	evidence-only	dispatch-and-fleet,onboard-and-site-operations		R01-A1048,R01-A1992	第 6 章按业务领域组织场景（用例），同一领域内按作业顺序排列。	仅供共同审阅；保留每条来源、范围、版本与批准状态，不自动合并或删除。
SC-0065	R01-A1049	2	1	2	exact-text-duplicate	evidence-only	dispatch-and-fleet,onboard-and-site-operations		R01-A1049,R01-A1993	本稿覆盖现场装卸、仓位硬件、车队、派车、充电、映射、流程引擎、权限、日志、安全联锁与停靠等全部已建模场景。	仅供共同审阅；保留每条来源、范围、版本与批准状态，不自动合并或删除。
SC-0066	R01-A1050	2	1	2	exact-text-duplicate	evidence-only	dispatch-and-fleet,onboard-and-site-operations		R01-A1050,R01-A1994	每个场景统一采用：目标 → 正常情况 → 异常与处理 → 待确认。	仅供共同审阅；保留每条来源、范围、版本与批准状态，不自动合并或删除。
SC-0067	R01-A1051	2	1	2	exact-text-duplicate	evidence-only	dispatch-and-fleet,onboard-and-site-operations		R01-A1051,R01-A1995	第 7 章集中列出待确认问题，建议开会时按该清单逐条决策。	仅供共同审阅；保留每条来源、范围、版本与批准状态，不自动合并或删除。
SC-0068	R01-A1052	2	1	2	exact-text-duplicate	approval-candidate-not-approved	dispatch-and-fleet,onboard-and-site-operations		R01-A1052,R01-A1996	半导体封装车间内，产品和物料需要在工序、机台、暂存区之间持续流转。	仅供共同审阅；保留每条来源、范围、版本与批准状态，不自动合并或删除。
SC-0069	R01-A1053	2	1	2	exact-text-duplicate	approval-candidate-not-approved	dispatch-and-fleet,onboard-and-site-operations		R01-A1053,R01-A1997	目前主要靠人工与小推车：人员需在机台附近巡线寻找待转运产品，装上小推车后再送到下一工序或暂存点，同时还要兼顾从暂存点送料到机台。	仅供共同审阅；保留每条来源、范围、版本与批准状态，不自动合并或删除。
SC-0070	R01-A1054	2	1	2	exact-text-duplicate	approval-candidate-not-approved	dispatch-and-fleet,onboard-and-site-operations		R01-A1054,R01-A1998	半导体产品偏重，人员长时间往复搬运易疲劳，并存在摔料（产品落地导致整批报废）风险。	仅供共同审阅；保留每条来源、范围、版本与批准状态，不自动合并或删除。
SC-0071	R01-A1055	2	1	2	exact-text-duplicate	approval-candidate-not-approved	dispatch-and-fleet,onboard-and-site-operations		R01-A1055,R01-A1999	物料侧：机台数量多且分散，物料员往往要兼顾大量机台；	仅供共同审阅；保留每条来源、范围、版本与批准状态，不自动合并或删除。
SC-0072	R01-A1056	2	1	2	exact-text-duplicate	approval-candidate-not-approved	dispatch-and-fleet,onboard-and-site-operations		R01-A1056,R01-A2000	机台操作员常需自行到物料间索取物料，对人机双方都是负担。	仅供共同审阅；保留每条来源、范围、版本与批准状态，不自动合并或删除。
SC-0073	R01-A1057	2	1	2	exact-text-duplicate	approval-candidate-not-approved	dispatch-and-fleet,onboard-and-site-operations		R01-A1057,R01-A2001	客户希望引入机器人，把「人跟着料跑」变为「人在定点收发、机器人跑路」。	仅供共同审阅；保留每条来源、范围、版本与批准状态，不自动合并或删除。
SC-0074	R01-A1058	2	1	2	exact-text-duplicate	approval-candidate-not-approved	dispatch-and-fleet,onboard-and-site-operations		R01-A1058,R01-A2002	降低人工搬运强度，减少长距离、重复性搬运。	仅供共同审阅；保留每条来源、范围、版本与批准状态，不自动合并或删除。
SC-0075	R01-A1059	2	1	2	exact-text-duplicate	approval-candidate-not-approved	dispatch-and-fleet,onboard-and-site-operations		R01-A1059,R01-A2003	降低摔料、错放、漏送等搬运风险。	仅供共同审阅；保留每条来源、范围、版本与批准状态，不自动合并或删除。
SC-0076	R01-A1060	2	1	2	exact-text-duplicate	approval-candidate-not-approved	dispatch-and-fleet,onboard-and-site-operations		R01-A1060,R01-A2004	提升产品和物料送达下一工序、机台或暂存位置的及时性。	仅供共同审阅；保留每条来源、范围、版本与批准状态，不自动合并或删除。
SC-0077	R01-A1061	2	1	2	exact-text-duplicate	approval-candidate-not-approved	dispatch-and-fleet,onboard-and-site-operations		R01-A1061,R01-A2005	规范车间内部物流，提升流转效率。	仅供共同审阅；保留每条来源、范围、版本与批准状态，不自动合并或删除。
SC-0078	R01-A1062	2	1	2	exact-text-duplicate	approval-candidate-not-approved	dispatch-and-fleet,onboard-and-site-operations		R01-A1062,R01-A2006	提升可追溯性：记录任务来源、起终点、执行时间与状态。	仅供共同审阅；保留每条来源、范围、版本与批准状态，不自动合并或删除。
SC-0079	R01-A1063	3	2	3	exact-text-duplicate,semantic-near-review	approval-candidate-not-approved	8005-project-cross-domain | dispatch-and-fleet,onboard-and-site-operations		R01-A1063,R01-A2007,R02-A0070	减少人员在产线与机台区域之间频繁穿梭，降低现场管理与安全风险。	仅供共同审阅；保留每条来源、范围、版本与批准状态，不自动合并或删除。
SC-0080	R01-A1064	2	1	2	exact-text-duplicate	approval-candidate-not-approved	dispatch-and-fleet,onboard-and-site-operations		R01-A1064,R01-A2008	将搬运由人工经验驱动转为系统任务驱动，提高作业标准化。	仅供共同审阅；保留每条来源、范围、版本与批准状态，不自动合并或删除。
SC-0081	R01-A1065	2	1	2	exact-text-duplicate	approval-candidate-not-approved	MES-integration,dispatch-and-fleet,onboard-and-site-operations		R01-A1065,R01-A2009	为后续与 MES、调度系统等进一步集成预留基础。	仅供共同审阅；保留每条来源、范围、版本与批准状态，不自动合并或删除。
SC-0082	R01-A1066	2	1	2	semantic-near-review	approval-candidate-not-approved	dispatch-and-fleet,onboard-and-site-operations		R01-A1066,R01-A2010	能稳定完成产品收取、产品派送、物料派送等	仅供共同审阅；保留每条来源、范围、版本与批准状态，不自动合并或删除。
SC-0083	R01-A1071	2	1	2	semantic-near-review	approval-candidate-not-approved	dispatch-and-fleet,onboard-and-site-operations		R01-A1071,R01-A2015	均可追溯任务编号、起终点、执行时间与状态	仅供共同审阅；保留每条来源、范围、版本与批准状态，不自动合并或删除。
SC-0084	R01-A1072	2	1	2	semantic-near-review	approval-candidate-not-approved	dispatch-and-fleet,onboard-and-site-operations		R01-A1072,R01-A2016	人员能按系统流程完成发起、收料、取料与异常处理	仅供共同审阅；保留每条来源、范围、版本与批准状态，不自动合并或删除。
SC-0085	R01-A1074	2	1	2	exact-text-duplicate	approval-candidate-not-approved	dispatch-and-fleet,onboard-and-site-operations		R01-A1074,R01-A2018	现场未按系统流程发起、收料、取料，导致系统利用率不足。	仅供共同审阅；保留每条来源、范围、版本与批准状态，不自动合并或删除。
SC-0086	R01-A1075	2	1	2	exact-text-duplicate	approval-candidate-not-approved	MES-integration,dispatch-and-fleet,onboard-and-site-operations		R01-A1075,R01-A2019	MES、调度系统与本系统之间任务或状态不同步，造成下发失败或搬运不及时。	仅供共同审阅；保留每条来源、范围、版本与批准状态，不自动合并或删除。
SC-0087	R01-A1076	2	1	2	exact-text-duplicate	approval-candidate-not-approved	dispatch-and-fleet,onboard-and-site-operations		R01-A1076,R01-A2020	通道、机台、暂存区等现场环境变化，影响路线与稳定性。	仅供共同审阅；保留每条来源、范围、版本与批准状态，不自动合并或删除。
SC-0088	R01-A1077	2	1	2	exact-text-duplicate	approval-candidate-not-approved	dispatch-and-fleet,onboard-and-site-operations		R01-A1077,R01-A2021	堵路、取放失败等异常若处理不及时，影响正常流转。	仅供共同审阅；保留每条来源、范围、版本与批准状态，不自动合并或删除。
SC-0089	R01-A1078	2	1	2	exact-text-duplicate	approval-candidate-not-approved	dispatch-and-fleet,onboard-and-site-operations		R01-A1078,R01-A2022	人员不信任机器人而继续依赖人工搬运，影响目标达成。	仅供共同审阅；保留每条来源、范围、版本与批准状态，不自动合并或删除。
SC-0090	R01-A1079	2	1	2	exact-text-duplicate	approval-candidate-not-approved	dispatch-and-fleet,onboard-and-site-operations		R01-A1079,R01-A2023	产品、位置、任务状态数据不准，导致错送、漏送或无法追溯。	仅供共同审阅；保留每条来源、范围、版本与批准状态，不自动合并或删除。
