"candidate_id"	"batch_id"	"source_record_id"	"source_path"	"source_sha256"	"exact_location"	"section_path"	"statement_text"	"source_context"	"statement_fingerprint"	"candidate_class"	"source_claim_status"	"applicable_scope"	"baseline_route"	"duplicate_or_derivation"	"conflict_pointer"	"approval_state"	"approval_gap"
"R02-A0011"	"R02"	"R02-07"	"requirement-documents/00-vision/system-context.md"	"60e2206dc80d105c92db91f519b4ffb7df50cadcca9340eb9481bb3777aeee65"	"line 61"	"系统上下文与边界 System Context > 3. 外部交互说明 > 3.3 RCS/RIOT 与 AGV"	"本系统只与 RCS/RIOT 交互，从 RCS/RIOT 获取可接入车辆及运行状态；"	"本系统只与 RCS/RIOT 交互，从 RCS/RIOT 获取可接入车辆及运行状态；本系统根据业务任务选择具体 AGV，再通过 RCS/RIOT 下达移动、充电、取消等请求。"	"0360062f0116e0100e6a374796c75345ec6e3289fd067263f2629d853216be0a"	"system-boundary-or-interface-candidate"	"unknown-source-internal-synthesis"	"dispatch-map-and-RIoT"	"needs-source-and-explicit-approval"	"unknown-source-internal-boundary-synthesis; references:R02-09,R02-12,R02-13,R02-14,R02-15,R02-24,R02-26"	"none-found-within-r02-pass"	"not-approved"	"named-approver;approval-date;approved-scope;version-or-sha256-binding"
"R02-A0012"	"R02"	"R02-07"	"requirement-documents/00-vision/system-context.md"	"60e2206dc80d105c92db91f519b4ffb7df50cadcca9340eb9481bb3777aeee65"	"line 61"	"系统上下文与边界 System Context > 3. 外部交互说明 > 3.3 RCS/RIOT 与 AGV"	"本系统根据业务任务选择具体 AGV，再通过 RCS/RIOT 下达移动、充电、取消等请求。"	"本系统只与 RCS/RIOT 交互，从 RCS/RIOT 获取可接入车辆及运行状态；本系统根据业务任务选择具体 AGV，再通过 RCS/RIOT 下达移动、充电、取消等请求。"	"e0da131eba51dddb4bdabe2d4708f6e0455043064f6792cf5b88c52faf16d829"	"system-boundary-or-interface-candidate"	"unknown-source-internal-synthesis"	"dispatch-map-and-RIoT"	"needs-source-and-explicit-approval"	"unknown-source-internal-boundary-synthesis; references:R02-09,R02-12,R02-13,R02-14,R02-15,R02-24,R02-26"	"none-found-within-r02-pass"	"not-approved"	"named-approver;approval-date;approved-scope;version-or-sha256-binding"
"R02-A0013"	"R02"	"R02-07"	"requirement-documents/00-vision/system-context.md"	"60e2206dc80d105c92db91f519b4ffb7df50cadcca9340eb9481bb3777aeee65"	"line 62"	"系统上下文与边界 System Context > 3. 外部交互说明 > 3.3 RCS/RIOT 与 AGV"	"本系统可从 RCS/RIOT **只读同步**地图站点与可通行路径（路网拓扑），在本地缓存后用于分配时的最短路径成本估计（见 [[uc-045-sync-map-topology-from-riot|UC-045]]、[[br-015-path-cost-and-dispatch-ranking|BR-015]]）。"	"本系统可从 RCS/RIOT **只读同步**地图站点与可通行路径（路网拓扑），在本地缓存后用于分配时的最短路径成本估计（见 [[uc-045-sync-map-topology-from-riot|UC-045]]、[[br-015-path-cost-and-dispatch-ranking|BR-015]]）。向 RCS/RIOT 下发移动请求时通常**只指定目标站点（目的地）**，不指定途经中间路程；本地路径成本估计不替代、不下发、不覆盖 RCS/RIOT 的真实导航。"	"525ac1224914990c2433374619f4ffa5b0089d63aa6625a18498e4cfc685be46"	"system-boundary-or-interface-candidate"	"unknown-source-internal-synthesis"	"dispatch-map-and-RIoT"	"needs-source-and-explicit-approval"	"unknown-source-internal-boundary-synthesis; references:R02-09,R02-12,R02-13,R02-14,R02-15,R02-24,R02-26"	"none-found-within-r02-pass"	"not-approved"	"named-approver;approval-date;approved-scope;version-or-sha256-binding"
"R02-A0014"	"R02"	"R02-07"	"requirement-documents/00-vision/system-context.md"	"60e2206dc80d105c92db91f519b4ffb7df50cadcca9340eb9481bb3777aeee65"	"line 62"	"系统上下文与边界 System Context > 3. 外部交互说明 > 3.3 RCS/RIOT 与 AGV"	"向 RCS/RIOT 下发移动请求时通常**只指定目标站点（目的地）**，不指定途经中间路程；"	"本系统可从 RCS/RIOT **只读同步**地图站点与可通行路径（路网拓扑），在本地缓存后用于分配时的最短路径成本估计（见 [[uc-045-sync-map-topology-from-riot|UC-045]]、[[br-015-path-cost-and-dispatch-ranking|BR-015]]）。向 RCS/RIOT 下发移动请求时通常**只指定目标站点（目的地）**，不指定途经中间路程；本地路径成本估计不替代、不下发、不覆盖 RCS/RIOT 的真实导航。"	"689ef786ad795f7133d657f24479811c5e4f1f598c65485d78f67f3f2eba6e30"	"system-boundary-or-interface-candidate"	"unknown-source-internal-synthesis"	"dispatch-map-and-RIoT"	"needs-source-and-explicit-approval"	"unknown-source-internal-boundary-synthesis; references:R02-09,R02-12,R02-13,R02-14,R02-15,R02-24,R02-26"	"none-found-within-r02-pass"	"not-approved"	"named-approver;approval-date;approved-scope;version-or-sha256-binding"
"R02-A0015"	"R02"	"R02-07"	"requirement-documents/00-vision/system-context.md"	"60e2206dc80d105c92db91f519b4ffb7df50cadcca9340eb9481bb3777aeee65"	"line 62"	"系统上下文与边界 System Context > 3. 外部交互说明 > 3.3 RCS/RIOT 与 AGV"	"本地路径成本估计不替代、不下发、不覆盖 RCS/RIOT 的真实导航。"	"本系统可从 RCS/RIOT **只读同步**地图站点与可通行路径（路网拓扑），在本地缓存后用于分配时的最短路径成本估计（见 [[uc-045-sync-map-topology-from-riot|UC-045]]、[[br-015-path-cost-and-dispatch-ranking|BR-015]]）。向 RCS/RIOT 下发移动请求时通常**只指定目标站点（目的地）**，不指定途经中间路程；本地路径成本估计不替代、不下发、不覆盖 RCS/RIOT 的真实导航。"	"db30bdcfb21daffae4239a4a554f41d43aad3f210c2d3da16d109dde00ee3c11"	"system-boundary-or-interface-candidate"	"unknown-source-internal-synthesis"	"dispatch-map-and-RIoT"	"needs-source-and-explicit-approval"	"unknown-source-internal-boundary-synthesis; references:R02-09,R02-12,R02-13,R02-14,R02-15,R02-24,R02-26"	"none-found-within-r02-pass"	"not-approved"	"named-approver;approval-date;approved-scope;version-or-sha256-binding"
"R02-A0016"	"R02"	"R02-07"	"requirement-documents/00-vision/system-context.md"	"60e2206dc80d105c92db91f519b4ffb7df50cadcca9340eb9481bb3777aeee65"	"line 63"	"系统上下文与边界 System Context > 3. 外部交互说明 > 3.3 RCS/RIOT 与 AGV"	"RCS/RIOT 负责连接和管理 AGV，并负责接收指定车辆的任务、路径规划、交通管制、导航及运动控制；"	"RCS/RIOT 负责连接和管理 AGV，并负责接收指定车辆的任务、路径规划、交通管制、导航及运动控制；RCS/RIOT 不负责本系统业务任务与具体 AGV 的分配决策。"	"516ef0aaab812fd2983f111a13e64211b5afde9183aba27a89f614c698f35ea6"	"system-boundary-or-interface-candidate"	"unknown-source-internal-synthesis"	"dispatch-map-and-RIoT"	"needs-source-and-explicit-approval"	"unknown-source-internal-boundary-synthesis; references:R02-09,R02-12,R02-13,R02-14,R02-15,R02-24,R02-26"	"none-found-within-r02-pass"	"not-approved"	"named-approver;approval-date;approved-scope;version-or-sha256-binding"
"R02-A0017"	"R02"	"R02-07"	"requirement-documents/00-vision/system-context.md"	"60e2206dc80d105c92db91f519b4ffb7df50cadcca9340eb9481bb3777aeee65"	"line 63"	"系统上下文与边界 System Context > 3. 外部交互说明 > 3.3 RCS/RIOT 与 AGV"	"RCS/RIOT 不负责本系统业务任务与具体 AGV 的分配决策。"	"RCS/RIOT 负责连接和管理 AGV，并负责接收指定车辆的任务、路径规划、交通管制、导航及运动控制；RCS/RIOT 不负责本系统业务任务与具体 AGV 的分配决策。"	"f902ebd8edcae6c9e55c191d115b1e769842aed326de9e8d27ae76e660b845a0"	"system-boundary-or-interface-candidate"	"unknown-source-internal-synthesis"	"dispatch-map-and-RIoT"	"needs-source-and-explicit-approval"	"unknown-source-internal-boundary-synthesis; references:R02-09,R02-12,R02-13,R02-14,R02-15,R02-24,R02-26"	"none-found-within-r02-pass"	"not-approved"	"named-approver;approval-date;approved-scope;version-or-sha256-binding"
"R02-A0018"	"R02"	"R02-07"	"requirement-documents/00-vision/system-context.md"	"60e2206dc80d105c92db91f519b4ffb7df50cadcca9340eb9481bb3777aeee65"	"line 64"	"系统上下文与边界 System Context > 3. 外部交互说明 > 3.3 RCS/RIOT 与 AGV"	"AGV 负责实际移动和任务执行，并通过 RCS/RIOT 上报运行状态与执行结果。"	"AGV 负责实际移动和任务执行，并通过 RCS/RIOT 上报运行状态与执行结果。"	"aceb87b6ef2d099fab6ed7c8498795bd2a306fa758130b9c7d2ac581db507588"	"system-boundary-or-interface-candidate"	"unknown-source-internal-synthesis"	"dispatch-map-and-RIoT"	"needs-source-and-explicit-approval"	"unknown-source-internal-boundary-synthesis; references:R02-09,R02-12,R02-13,R02-14,R02-15,R02-24,R02-26"	"none-found-within-r02-pass"	"not-approved"	"named-approver;approval-date;approved-scope;version-or-sha256-binding"
"R02-A0019"	"R02"	"R02-07"	"requirement-documents/00-vision/system-context.md"	"60e2206dc80d105c92db91f519b4ffb7df50cadcca9340eb9481bb3777aeee65"	"line 65"	"系统上下文与边界 System Context > 3. 外部交互说明 > 3.3 RCS/RIOT 与 AGV"	"本系统不直接连接、控制或调用 AGV 本体接口。"	"本系统不直接连接、控制或调用 AGV 本体接口。"	"12e99841fc3f57c7e96f607c7218eb9ce1d4212108006044ce5892398d29af98"	"system-boundary-or-interface-candidate"	"unknown-source-internal-synthesis"	"dispatch-map-and-RIoT"	"needs-source-and-explicit-approval"	"unknown-source-internal-boundary-synthesis; references:R02-09,R02-12,R02-13,R02-14,R02-15,R02-24,R02-26"	"none-found-within-r02-pass"	"not-approved"	"named-approver;approval-date;approved-scope;version-or-sha256-binding"
"R02-A0020"	"R02"	"R02-07"	"requirement-documents/00-vision/system-context.md"	"60e2206dc80d105c92db91f519b4ffb7df50cadcca9340eb9481bb3777aeee65"	"line 69"	"系统上下文与边界 System Context > 3. 外部交互说明 > 3.4 IO 模块、电子锁与光幕"	"本系统直接连接 IO 模块，通过 IO 模块下发开锁或输出控制指令，并读取 DI 状态和故障信息。"	"本系统直接连接 IO 模块，通过 IO 模块下发开锁或输出控制指令，并读取 DI 状态和故障信息。"	"d1d8ba5763a2a984c39e2fd1209ef610e41e8f42a1184389d8892b92080ee2a1"	"system-boundary-or-interface-candidate"	"unknown-source-internal-synthesis"	"slot-hardware-and-material-handling"	"needs-source-and-explicit-approval"	"unknown-source-internal-boundary-synthesis; references:R02-09,R02-12,R02-13,R02-14,R02-15,R02-24,R02-26"	"none-found-within-r02-pass"	"not-approved"	"named-approver;approval-date;approved-scope;version-or-sha256-binding"
"R02-A0021"	"R02"	"R02-07"	"requirement-documents/00-vision/system-context.md"	"60e2206dc80d105c92db91f519b4ffb7df50cadcca9340eb9481bb3777aeee65"	"line 70"	"系统上下文与边界 System Context > 3. 外部交互说明 > 3.4 IO 模块、电子锁与光幕"	"IO 模块负责连接电子锁和光幕等末端器件；"	"IO 模块负责连接电子锁和光幕等末端器件；电子锁、门状态及光幕信号通过 IO 模块与本系统交互。"	"0783ea7757d9f34225fe7f0ea86ca75c9ef1b93494bf208ee8930f1643074a8e"	"system-boundary-or-interface-candidate"	"unknown-source-internal-synthesis"	"slot-hardware-and-material-handling"	"needs-source-and-explicit-approval"	"unknown-source-internal-boundary-synthesis; references:R02-09,R02-12,R02-13,R02-14,R02-15,R02-24,R02-26"	"none-found-within-r02-pass"	"not-approved"	"named-approver;approval-date;approved-scope;version-or-sha256-binding"
"R02-A0022"	"R02"	"R02-07"	"requirement-documents/00-vision/system-context.md"	"60e2206dc80d105c92db91f519b4ffb7df50cadcca9340eb9481bb3777aeee65"	"line 70"	"系统上下文与边界 System Context > 3. 外部交互说明 > 3.4 IO 模块、电子锁与光幕"	"电子锁、门状态及光幕信号通过 IO 模块与本系统交互。"	"IO 模块负责连接电子锁和光幕等末端器件；电子锁、门状态及光幕信号通过 IO 模块与本系统交互。"	"99c253d840c3c91d8186b5a4cfe1870ca40af984c92b2fe3385767731c5848a9"	"system-boundary-or-interface-candidate"	"unknown-source-internal-synthesis"	"slot-hardware-and-material-handling"	"needs-source-and-explicit-approval"	"unknown-source-internal-boundary-synthesis; references:R02-09,R02-12,R02-13,R02-14,R02-15,R02-24,R02-26"	"none-found-within-r02-pass"	"not-approved"	"named-approver;approval-date;approved-scope;version-or-sha256-binding"
"R02-A0023"	"R02"	"R02-07"	"requirement-documents/00-vision/system-context.md"	"60e2206dc80d105c92db91f519b4ffb7df50cadcca9340eb9481bb3777aeee65"	"line 71"	"系统上下文与边界 System Context > 3. 外部交互说明 > 3.4 IO 模块、电子锁与光幕"	"本系统不直接连接电子锁或光幕，其控制和状态读取均以 IO 模块为边界。"	"本系统不直接连接电子锁或光幕，其控制和状态读取均以 IO 模块为边界。"	"d1c4c4494d9f328e4bc622e410f67e7cb0ea5fcdf65f984a198c5d5fd3114b2c"	"system-boundary-or-interface-candidate"	"unknown-source-internal-synthesis"	"slot-hardware-and-material-handling"	"needs-source-and-explicit-approval"	"unknown-source-internal-boundary-synthesis; references:R02-09,R02-12,R02-13,R02-14,R02-15,R02-24,R02-26"	"none-found-within-r02-pass"	"not-approved"	"named-approver;approval-date;approved-scope;version-or-sha256-binding"
"R02-A0024"	"R02"	"R02-07"	"requirement-documents/00-vision/system-context.md"	"60e2206dc80d105c92db91f519b4ffb7df50cadcca9340eb9481bb3777aeee65"	"line 75"	"系统上下文与边界 System Context > 3. 外部交互说明 > 3.5 流程引擎与能力适配器"	"流程引擎位于本系统内部，只编排 [[workflow-step-catalog|预置流程步骤目录]] 中固定的 MES、RCS/RIOT、IO 和人工能力适配器；"	"流程引擎位于本系统内部，只编排 [[workflow-step-catalog|预置流程步骤目录]] 中固定的 MES、RCS/RIOT、IO 和人工能力适配器；适配器复用既有受控业务能力，不提供脚本、SQL 或任意 API 入口。"	"237a8d4d17f22f4cca3304ba961ea430869849518a7838e28bf19d5d0d6e34be"	"internal-modeling-derivation"	"unknown-source-internal-synthesis"	"MES-integration-and-transport-demand"	"exclude-from-requirement-approval"	"unknown-source-internal-boundary-synthesis; references:R02-09,R02-12,R02-13,R02-14,R02-15,R02-24,R02-26"	"none-found-within-r02-pass"	"not-approved"	"named-approver;approval-date;approved-scope;version-or-sha256-binding"
"R02-A0025"	"R02"	"R02-07"	"requirement-documents/00-vision/system-context.md"	"60e2206dc80d105c92db91f519b4ffb7df50cadcca9340eb9481bb3777aeee65"	"line 75"	"系统上下文与边界 System Context > 3. 外部交互说明 > 3.5 流程引擎与能力适配器"	"适配器复用既有受控业务能力，不提供脚本、SQL 或任意 API 入口。"	"流程引擎位于本系统内部，只编排 [[workflow-step-catalog|预置流程步骤目录]] 中固定的 MES、RCS/RIOT、IO 和人工能力适配器；适配器复用既有受控业务能力，不提供脚本、SQL 或任意 API 入口。"	"d4256692dcd69cc22eece31d0b816e573967a16b3f608171f5847b5dc00a6a81"	"internal-modeling-derivation"	"unknown-source-internal-synthesis"	"workflow-engine-and-governance"	"exclude-from-requirement-approval"	"unknown-source-internal-boundary-synthesis; references:R02-09,R02-12,R02-13,R02-14,R02-15,R02-24,R02-26"	"none-found-within-r02-pass"	"not-approved"	"named-approver;approval-date;approved-scope;version-or-sha256-binding"
"R02-A0026"	"R02"	"R02-07"	"requirement-documents/00-vision/system-context.md"	"60e2206dc80d105c92db91f519b4ffb7df50cadcca9340eb9481bb3777aeee65"	"line 76"	"系统上下文与边界 System Context > 3. 外部交互说明 > 3.5 流程引擎与能力适配器"	"模板由 [[uc-025-maintain-workflow-template|UC-025]] 维护，按 [[uc-026-select-template-and-create-workflow-instance|UC-026]]、[[br-004-workflow-template-matching|BR-004]] 匹配并依 [[br-005-workflow-template-versioning|BR-005]] 固化快照；"	"模板由 [[uc-025-maintain-workflow-template|UC-025]] 维护，按 [[uc-026-select-template-and-create-workflow-instance|UC-026]]、[[br-004-workflow-template-matching|BR-004]] 匹配并依 [[br-005-workflow-template-versioning|BR-005]] 固化快照；[[uc-027-execute-workflow-steps|UC-027]] 仅按 [[br-006-workflow-step-execution|BR-006]] 顺序调用适配器，异常和只读进度分别见 [[uc-028-handle-workflow-step-exception|UC-028]]、[[uc-029-view-workflow-instance-progress|UC-029]]。"	"fbd7f4300e62a153986497b9ee09a26031cd4e24d2cafa25076ea9a4821ccb4d"	"internal-modeling-derivation"	"unknown-source-internal-synthesis"	"slot-hardware-and-material-handling"	"exclude-from-requirement-approval"	"unknown-source-internal-boundary-synthesis; references:R02-09,R02-12,R02-13,R02-14,R02-15,R02-24,R02-26"	"none-found-within-r02-pass"	"not-approved"	"named-approver;approval-date;approved-scope;version-or-sha256-binding"
"R02-A0027"	"R02"	"R02-07"	"requirement-documents/00-vision/system-context.md"	"60e2206dc80d105c92db91f519b4ffb7df50cadcca9340eb9481bb3777aeee65"	"line 76"	"系统上下文与边界 System Context > 3. 外部交互说明 > 3.5 流程引擎与能力适配器"	"[[uc-027-execute-workflow-steps|UC-027]] 仅按 [[br-006-workflow-step-execution|BR-006]] 顺序调用适配器，异常和只读进度分别见 [[uc-028-handle-workflow-step-exception|UC-028]]、[[uc-029-view-workflow-instance-progress|UC-029]]。"	"模板由 [[uc-025-maintain-workflow-template|UC-025]] 维护，按 [[uc-026-select-template-and-create-workflow-instance|UC-026]]、[[br-004-workflow-template-matching|BR-004]] 匹配并依 [[br-005-workflow-template-versioning|BR-005]] 固化快照；[[uc-027-execute-workflow-steps|UC-027]] 仅按 [[br-006-workflow-step-execution|BR-006]] 顺序调用适配器，异常和只读进度分别见 [[uc-028-handle-workflow-step-exception|UC-028]]、[[uc-029-view-workflow-instance-progress|UC-029]]。"	"d4d4ec56ffedeeda7183242ed909ce952b002b3d0dbf81a5e597396b33c0f6f4"	"internal-modeling-derivation"	"unknown-source-internal-synthesis"	"slot-hardware-and-material-handling"	"exclude-from-requirement-approval"	"unknown-source-internal-boundary-synthesis; references:R02-09,R02-12,R02-13,R02-14,R02-15,R02-24,R02-26"	"none-found-within-r02-pass"	"not-approved"	"named-approver;approval-date;approved-scope;version-or-sha256-binding"
