derivation_id	child_source_record_id	parent_source_record_id	child_batch_id	parent_batch_id	candidate_rows_carrying_link	sample_candidate_ids	evidence_fragments	review_note
DRV-0016	R01-15	R01-13	R01	R01	14	R01-A2840,R01-A2841,R01-A2842,R01-A2843,R01-A2844,R01-A2845,R01-A2846,R01-A2847,R01-A2848,R01-A2849,R01-A2850,R01-A2851	referenced-by:R01-13	文档声明的来源/重叠关系；不传递权威性或批准，逐条声明仍保留独立身份。
DRV-0017	R01-15	R01-14	R01	R01	14	R01-A2840,R01-A2841,R01-A2842,R01-A2843,R01-A2844,R01-A2845,R01-A2846,R01-A2847,R01-A2848,R01-A2849,R01-A2850,R01-A2851	embedded-in:R01-14	文档声明的来源/重叠关系；不传递权威性或批准，逐条声明仍保留独立身份。
DRV-0018	R01-17	R01-04	R01	R01	197	R01-A2854,R01-A2855,R01-A2856,R01-A2857,R01-A2858,R01-A2859,R01-A2860,R01-A2861,R01-A2862,R01-A2863,R01-A2864,R01-A2865	overlaps:R01-04,R01-05,R01-13,R01-19	文档声明的来源/重叠关系；不传递权威性或批准，逐条声明仍保留独立身份。
DRV-0019	R01-17	R01-05	R01	R01	197	R01-A2854,R01-A2855,R01-A2856,R01-A2857,R01-A2858,R01-A2859,R01-A2860,R01-A2861,R01-A2862,R01-A2863,R01-A2864,R01-A2865	overlaps:R01-04,R01-05,R01-13,R01-19	文档声明的来源/重叠关系；不传递权威性或批准，逐条声明仍保留独立身份。
DRV-0020	R01-17	R01-13	R01	R01	197	R01-A2854,R01-A2855,R01-A2856,R01-A2857,R01-A2858,R01-A2859,R01-A2860,R01-A2861,R01-A2862,R01-A2863,R01-A2864,R01-A2865	overlaps:R01-04,R01-05,R01-13,R01-19	文档声明的来源/重叠关系；不传递权威性或批准，逐条声明仍保留独立身份。
DRV-0021	R01-17	R01-19	R01	R01	197	R01-A2854,R01-A2855,R01-A2856,R01-A2857,R01-A2858,R01-A2859,R01-A2860,R01-A2861,R01-A2862,R01-A2863,R01-A2864,R01-A2865	overlaps:R01-04,R01-05,R01-13,R01-19	文档声明的来源/重叠关系；不传递权威性或批准，逐条声明仍保留独立身份。
DRV-0022	R01-19	R01-13	R01	R01	41	R01-A3051,R01-A3052,R01-A3053,R01-A3054,R01-A3055,R01-A3056,R01-A3057,R01-A3058,R01-A3059,R01-A3060,R01-A3061,R01-A3062	overlaps:R01-13	文档声明的来源/重叠关系；不传递权威性或批准，逐条声明仍保留独立身份。
DRV-0023	R01-19	R01-17	R01	R01	41	R01-A3051,R01-A3052,R01-A3053,R01-A3054,R01-A3055,R01-A3056,R01-A3057,R01-A3058,R01-A3059,R01-A3060,R01-A3061,R01-A3062	references:R01-17	文档声明的来源/重叠关系；不传递权威性或批准，逐条声明仍保留独立身份。
DRV-0024	R02-07	R02-09	R02	R02	52	R02-A0001,R02-A0002,R02-A0003,R02-A0004,R02-A0005,R02-A0006,R02-A0007,R02-A0008,R02-A0009,R02-A0010,R02-A0011,R02-A0012	references:R02-09,R02-12,R02-13,R02-14,R02-15,R02-24,R02-26	文档声明的来源/重叠关系；不传递权威性或批准，逐条声明仍保留独立身份。
DRV-0025	R02-07	R02-12	R02	R02	52	R02-A0001,R02-A0002,R02-A0003,R02-A0004,R02-A0005,R02-A0006,R02-A0007,R02-A0008,R02-A0009,R02-A0010,R02-A0011,R02-A0012	references:R02-09,R02-12,R02-13,R02-14,R02-15,R02-24,R02-26	文档声明的来源/重叠关系；不传递权威性或批准，逐条声明仍保留独立身份。
DRV-0026	R02-07	R02-13	R02	R02	52	R02-A0001,R02-A0002,R02-A0003,R02-A0004,R02-A0005,R02-A0006,R02-A0007,R02-A0008,R02-A0009,R02-A0010,R02-A0011,R02-A0012	references:R02-09,R02-12,R02-13,R02-14,R02-15,R02-24,R02-26	文档声明的来源/重叠关系；不传递权威性或批准，逐条声明仍保留独立身份。
DRV-0027	R02-07	R02-14	R02	R02	52	R02-A0001,R02-A0002,R02-A0003,R02-A0004,R02-A0005,R02-A0006,R02-A0007,R02-A0008,R02-A0009,R02-A0010,R02-A0011,R02-A0012	references:R02-09,R02-12,R02-13,R02-14,R02-15,R02-24,R02-26	文档声明的来源/重叠关系；不传递权威性或批准，逐条声明仍保留独立身份。
DRV-0028	R02-07	R02-15	R02	R02	52	R02-A0001,R02-A0002,R02-A0003,R02-A0004,R02-A0005,R02-A0006,R02-A0007,R02-A0008,R02-A0009,R02-A0010,R02-A0011,R02-A0012	references:R02-09,R02-12,R02-13,R02-14,R02-15,R02-24,R02-26	文档声明的来源/重叠关系；不传递权威性或批准，逐条声明仍保留独立身份。
DRV-0029	R02-07	R02-24	R02	R02	52	R02-A0001,R02-A0002,R02-A0003,R02-A0004,R02-A0005,R02-A0006,R02-A0007,R02-A0008,R02-A0009,R02-A0010,R02-A0011,R02-A0012	references:R02-09,R02-12,R02-13,R02-14,R02-15,R02-24,R02-26	文档声明的来源/重叠关系；不传递权威性或批准，逐条声明仍保留独立身份。
DRV-0030	R02-07	R02-26	R02	R02	52	R02-A0001,R02-A0002,R02-A0003,R02-A0004,R02-A0005,R02-A0006,R02-A0007,R02-A0008,R02-A0009,R02-A0010,R02-A0011,R02-A0012	references:R02-09,R02-12,R02-13,R02-14,R02-15,R02-24,R02-26	文档声明的来源/重叠关系；不传递权威性或批准，逐条声明仍保留独立身份。
DRV-0031	R02-08	R02-07	R02	R02	100	R02-A0053,R02-A0054,R02-A0055,R02-A0056,R02-A0057,R02-A0058,R02-A0059,R02-A0060,R02-A0061,R02-A0062,R02-A0063,R02-A0064	references:R02-07,R02-09	文档声明的来源/重叠关系；不传递权威性或批准，逐条声明仍保留独立身份。
DRV-0032	R02-08	R02-09	R02	R02	100	R02-A0053,R02-A0054,R02-A0055,R02-A0056,R02-A0057,R02-A0058,R02-A0059,R02-A0060,R02-A0061,R02-A0062,R02-A0063,R02-A0064	references:R02-07,R02-09	文档声明的来源/重叠关系；不传递权威性或批准，逐条声明仍保留独立身份。
DRV-0033	R02-11	R02-23	R02	R02	63	R02-A0269,R02-A0270,R02-A0271,R02-A0272,R02-A0273,R02-A0274,R02-A0275,R02-A0276,R02-A0277,R02-A0278,R02-A0279,R02-A0280	ranking-derived-from:R02-23,R02-24	文档声明的来源/重叠关系；不传递权威性或批准，逐条声明仍保留独立身份。
DRV-0034	R02-11	R02-24	R02	R02	63	R02-A0269,R02-A0270,R02-A0271,R02-A0272,R02-A0273,R02-A0274,R02-A0275,R02-A0276,R02-A0277,R02-A0278,R02-A0279,R02-A0280	ranking-derived-from:R02-23,R02-24	文档声明的来源/重叠关系；不传递权威性或批准，逐条声明仍保留独立身份。
DRV-0035	R02-15	R02-26	R02	R02	94	R02-A0542,R02-A0543,R02-A0544,R02-A0545,R02-A0546,R02-A0547,R02-A0548,R02-A0549,R02-A0550,R02-A0551,R02-A0552,R02-A0553	formed-with:R02-26	文档声明的来源/重叠关系；不传递权威性或批准，逐条声明仍保留独立身份。
DRV-0036	R02-17	R02-14	R02	R02	62	R02-A0668,R02-A0669,R02-A0670,R02-A0671,R02-A0672,R02-A0673,R02-A0674,R02-A0675,R02-A0676,R02-A0677,R02-A0678,R02-A0679	versioning-derived-from:R02-14	文档声明的来源/重叠关系；不传递权威性或批准，逐条声明仍保留独立身份。
DRV-0037	R02-18	R02-16	R02	R02	33	R02-A0730,R02-A0731,R02-A0732,R02-A0733,R02-A0734,R02-A0735,R02-A0736,R02-A0737,R02-A0738,R02-A0739,R02-A0740,R02-A0741	queueing-model-derived-from:R02-16	文档声明的来源/重叠关系；不传递权威性或批准，逐条声明仍保留独立身份。
DRV-0038	R02-21	R01-05	R02	R01	73	R02-A0826,R02-A0827,R02-A0828,R02-A0829,R02-A0830,R02-A0831,R02-A0832,R02-A0833,R02-A0834,R02-A0835,R02-A0836,R02-A0837	derived-from-unapproved-internal-MES-model:R01-05	文档声明的来源/重叠关系；不传递权威性或批准，逐条声明仍保留独立身份。
DRV-0039	R02-22	R01-05	R02	R01	35	R02-A0899,R02-A0900,R02-A0901,R02-A0902,R02-A0903,R02-A0904,R02-A0905,R02-A0906,R02-A0907,R02-A0908,R02-A0909,R02-A0910	derived-from-unapproved-internal-MES-model:R01-05	文档声明的来源/重叠关系；不传递权威性或批准，逐条声明仍保留独立身份。
DRV-0040	R02-23	R01-04	R02	R01	48	R02-A0934,R02-A0935,R02-A0936,R02-A0937,R02-A0938,R02-A0939,R02-A0940,R02-A0941,R02-A0942,R02-A0943,R02-A0944,R02-A0945	derived-from-unapproved-internal-MES-model:R01-05-and-interface-summary:R01-04	文档声明的来源/重叠关系；不传递权威性或批准，逐条声明仍保留独立身份。
DRV-0041	R02-23	R01-05	R02	R01	48	R02-A0934,R02-A0935,R02-A0936,R02-A0937,R02-A0938,R02-A0939,R02-A0940,R02-A0941,R02-A0942,R02-A0943,R02-A0944,R02-A0945	derived-from-unapproved-internal-MES-model:R01-05-and-interface-summary:R01-04	文档声明的来源/重叠关系；不传递权威性或批准，逐条声明仍保留独立身份。
