review_id	candidate_id	batch_id	source_record_id	source_path	exact_location	section_path	statement_text	source_context	statement_fingerprint	original_candidate_class	original_baseline_route	original_review_disposition	original_conflict_pointer	original_approval_state	post_conflict_disposition	resolution_pointer	review_rationale	review_fingerprint
PCR-0011	R01-A0013	R01	R01-03	mes/docs/待处理事项清单-MES-RIOT-应用.docx	table T01 row R004	一、总览	类别=应用/需求 | 待处理项数=7 | 本周优先=文档补齐优先 | 主要阻塞=4项新功能未入需求文档；	类别=应用/需求 | 待处理项数=7 | 本周优先=文档补齐优先 | 主要阻塞=4项新功能未入需求文档；缺架构与详细设计	7bbf291021f4e3e6c6279c1bfac1597f10608d22d847506676f6be6568e8b1c3	unresolved-question	needs-question-resolution	hold-for-question-or-reframing	none-found-within-r01-pass	not-approved	duplicate-or-evidence-only	singleton	该行只记录标题、分类、历史待办/阻塞状态、问题索引、重复标签或收敛说明；保留作证据，不单独形成需求决定。	30731d7b0fe6e50ac83eecd30e5669368c1b30bb4550c54fca1ab80a6455c5c1
PCR-0012	R01-A0014	R01	R01-03	mes/docs/待处理事项清单-MES-RIOT-应用.docx	table T01 row R004	一、总览	缺架构与详细设计	类别=应用/需求 | 待处理项数=7 | 本周优先=文档补齐优先 | 主要阻塞=4项新功能未入需求文档；缺架构与详细设计	709bdec2f174cb1957f8a66d1ea739e2f7be7dc23a1233cfb02e66a6228d6e66	unresolved-question	needs-question-resolution	hold-for-question-or-reframing	none-found-within-r01-pass	not-approved	duplicate-or-evidence-only	singleton	该行只记录标题、分类、历史待办/阻塞状态、问题索引、重复标签或收敛说明；保留作证据，不单独形成需求决定。	5d0e088d3905b56f392fa254701072aeb5775641c207b72075f2172fbafef8eb
PCR-0013	R01-A0015	R01	R01-03	mes/docs/待处理事项清单-MES-RIOT-应用.docx	table T01 row R005	一、总览	类别=客户沟通 | 待处理项数=5 | 本周优先=是 | 主要阻塞=SQL/EQP/AREA/封装覆盖/异常任务规则	类别=客户沟通 | 待处理项数=5 | 本周优先=是 | 主要阻塞=SQL/EQP/AREA/封装覆盖/异常任务规则	9055399165084f4e01cd50c24966f05813f7b247ab66bcabc74f9d5ac3547984	unresolved-question	needs-question-resolution	hold-for-question-or-reframing	none-found-within-r01-pass	not-approved	duplicate-or-evidence-only	singleton	该行只记录标题、分类、历史待办/阻塞状态、问题索引、重复标签或收敛说明；保留作证据，不单独形成需求决定。	7c18e8e70b0843e5b243183ea416e62cbf6ac05048131f544b5582845f42006d
PCR-0014	R01-A0016	R01	R01-03	mes/docs/待处理事项清单-MES-RIOT-应用.docx	table T02 row R002	二、MES 待处理事项 > 2.1 待处理事项与预计时间	跟进第六类任务 SQL （焊线1完工→焊线氮气柜）；	编号=M-01 | 待处理事项=跟进第六类任务 SQL （焊线1完工→焊线氮气柜） | 说明/验收要点=IT群已询问，客户未反馈。拿到SQL后：登记 QUERY_ID、并入 UNION、补契约字段、补实验与样本。 | 预计时间=收到SQL后 1～2 天 （等待不计入） | 优先级=P0	cc83e16fc84a6db68c8889f7252d34bb67b3bb8a704353548d198ab7e03f02d4	unresolved-question	needs-question-resolution	hold-for-question-or-reframing	none-found-within-r01-pass	not-approved	duplicate-or-evidence-only	singleton	该行只记录标题、分类、历史待办/阻塞状态、问题索引、重复标签或收敛说明；保留作证据，不单独形成需求决定。	e6e8d8ae6363fb61ccd40ff375cfc3382e24d41d08bcad433a745cb84320429d
PCR-0015	R01-A0017	R01	R01-03	mes/docs/待处理事项清单-MES-RIOT-应用.docx	table T02 row R002	二、MES 待处理事项 > 2.1 待处理事项与预计时间	IT群已询问，客户未反馈。	编号=M-01 | 待处理事项=跟进第六类任务 SQL （焊线1完工→焊线氮气柜） | 说明/验收要点=IT群已询问，客户未反馈。拿到SQL后：登记 QUERY_ID、并入 UNION、补契约字段、补实验与样本。 | 预计时间=收到SQL后 1～2 天 （等待不计入） | 优先级=P0	130b0c299bed44a6e5bb4ab2b73b78b6ba43a52b312f60ff6ddca1d96f287276	unresolved-question	needs-question-resolution	hold-for-question-or-reframing	none-found-within-r01-pass	not-approved	duplicate-or-evidence-only	singleton	该行只记录标题、分类、历史待办/阻塞状态、问题索引、重复标签或收敛说明；保留作证据，不单独形成需求决定。	83621ea7e6730da1e79831d36367c49b8523785f22bad5720f59acea341bf127
PCR-0016	R01-A0018	R01	R01-03	mes/docs/待处理事项清单-MES-RIOT-应用.docx	table T02 row R002	二、MES 待处理事项 > 2.1 待处理事项与预计时间	拿到SQL后：登记 QUERY_ID、并入 UNION、补契约字段、补实验与样本。	编号=M-01 | 待处理事项=跟进第六类任务 SQL （焊线1完工→焊线氮气柜） | 说明/验收要点=IT群已询问，客户未反馈。拿到SQL后：登记 QUERY_ID、并入 UNION、补契约字段、补实验与样本。 | 预计时间=收到SQL后 1～2 天 （等待不计入） | 优先级=P0	2b33283e075d01ffa5623da2aec07cf31b5b3e2560dc9f5815c794cf0e62419e	unresolved-question	needs-question-resolution	hold-for-question-or-reframing	none-found-within-r01-pass	not-approved	duplicate-or-evidence-only	singleton	该行只记录标题、分类、历史待办/阻塞状态、问题索引、重复标签或收敛说明；保留作证据，不单独形成需求决定。	5973679affdad6f2190f0ab51592c3e86a913590205781c4a90ac054f9b2e1dc
PCR-0017	R01-A0027	R01	R01-03	mes/docs/待处理事项清单-MES-RIOT-应用.docx	table T02 row R005	二、MES 待处理事项 > 2.1 待处理事项与预计时间	补充完整任务状态图；	编号=M-04 | 待处理事项=补充完整任务状态图 | 说明/验收要点=获取/去重/过滤已确认，但缺完整状态图。补齐：PENDING～COMPLETED/CANCELLED/EXCEPTION、MES消失保护、人工永久抑制、位置异常、上游依赖等待等。 | 预计时间=1～1.5 天 | 优先级=P0	aefc0e4b68e2ea657eef2783e6007ff0f0c27d09355f7175b7f3c83a6fe034f1	unresolved-question	needs-question-resolution	hold-for-question-or-reframing	none-found-within-r01-pass	not-approved	duplicate-or-evidence-only	singleton	该行只记录标题、分类、历史待办/阻塞状态、问题索引、重复标签或收敛说明；保留作证据，不单独形成需求决定。	6fc8a1c79b247a85b51d201c18b0b18f8c96e444d7de442c26123683825fb12b
PCR-0018	R01-A0028	R01	R01-03	mes/docs/待处理事项清单-MES-RIOT-应用.docx	table T02 row R005	二、MES 待处理事项 > 2.1 待处理事项与预计时间	获取/去重/过滤已确认，但缺完整状态图。	编号=M-04 | 待处理事项=补充完整任务状态图 | 说明/验收要点=获取/去重/过滤已确认，但缺完整状态图。补齐：PENDING～COMPLETED/CANCELLED/EXCEPTION、MES消失保护、人工永久抑制、位置异常、上游依赖等待等。 | 预计时间=1～1.5 天 | 优先级=P0	ab7f6cfc1044402babcbeeb66cff1bc326cdfa7a5bfa2784c34331d51469165e	unresolved-question	needs-question-resolution	hold-for-question-or-reframing	none-found-within-r01-pass	not-approved	duplicate-or-evidence-only	singleton	该行只记录标题、分类、历史待办/阻塞状态、问题索引、重复标签或收敛说明；保留作证据，不单独形成需求决定。	8ceef6a99c9c5abfa5209215d9978bbbc4d290925e8582f3f72beacb48a39668
PCR-0019	R01-A0029	R01	R01-03	mes/docs/待处理事项清单-MES-RIOT-应用.docx	table T02 row R005	二、MES 待处理事项 > 2.1 待处理事项与预计时间	补齐：PENDING～COMPLETED/CANCELLED/EXCEPTION、MES消失保护、人工永久抑制、位置异常、上游依赖等待等。	编号=M-04 | 待处理事项=补充完整任务状态图 | 说明/验收要点=获取/去重/过滤已确认，但缺完整状态图。补齐：PENDING～COMPLETED/CANCELLED/EXCEPTION、MES消失保护、人工永久抑制、位置异常、上游依赖等待等。 | 预计时间=1～1.5 天 | 优先级=P0	4b925f2cfb927beca460ca1ad213cfe9bc1898f67dc789eff5f13050508045af	unresolved-question	needs-question-resolution	hold-for-question-or-reframing	none-found-within-r01-pass	not-approved	duplicate-or-evidence-only	singleton	该行只记录标题、分类、历史待办/阻塞状态、问题索引、重复标签或收敛说明；保留作证据，不单独形成需求决定。	364c11434044b8bfcad8a6b3801b9defe7896e8e68e3d22c746a521e900de60a
PCR-0020	R01-A0044	R01	R01-03	mes/docs/待处理事项清单-MES-RIOT-应用.docx	table T03 row R002	二、MES 待处理事项 > 2.2 MES 需沟通协调事项	第六类任务（焊线1完工送焊线氮气柜）正式 SQL、筛选条件、是否并入现有 UNION	编号=MC-01 | 需沟通对象=客户 IT | 沟通事项=第六类任务（焊线1完工送焊线氮气柜）正式 SQL、筛选条件、是否并入现有 UNION | 期望产出=正式 SQL + 业务含义确认 | 当前状态=已在IT群询问，等待反馈	77d03705fa53a0bb09476dcd10df4a88cd7cc5bd1c90c407ad06f4f3fcd852b9	unresolved-question	needs-question-resolution	hold-for-question-or-reframing	none-found-within-r01-pass	not-approved	needs-evidence-before-candidacy	mes/docs/待处理事项清单-MES-RIOT-应用.docx	该记录要求目标环境、接口、字段、配置值或版本绑定事实；现有材料不足，不能由批准人猜测或由实现反推。	dfcb3cfeae2962ddc0c780d8e732c9d0f5fb6bfe1edecfcd535b7a15ce298012
PCR-0021	R01-A0045	R01	R01-03	mes/docs/待处理事项清单-MES-RIOT-应用.docx	table T03 row R003	二、MES 待处理事项 > 2.2 MES 需沟通协调事项	封装对照表不全时：是否统一退化“选任务/扫SUBLOT开门”；	编号=MC-02 | 需沟通对象=客户工艺/现场 + IT | 沟通事项=封装对照表不全时：是否统一退化“选任务/扫SUBLOT开门”；未覆盖 PACKAGE 是否补表 | 期望产出=书面确认兜底规则；补表计划或接受兜底 | 当前状态=现场已确认表不全，规则待书面确认	cf376001caa9c794264220734d9cab41f1cb1b29903fa89add9c0e0e771ea3ed	unresolved-question	needs-question-resolution	hold-for-question-or-reframing	none-found-within-r01-pass	not-approved	graduate-hitl-question	issues/64-decide-mes-transport-candidate-inclusion-and-exclusion-boundary.md	问题已能按业务后果精确表述，并由《决定 MES 运输候选的业务纳入与排除边界》统一承载；原声明保持未批准。	9692ba57300f8517cbacddd443abaf18b33fb6daa18170a689cfd43886d832c0
PCR-0022	R01-A0046	R01	R01-03	mes/docs/待处理事项清单-MES-RIOT-应用.docx	table T03 row R003	二、MES 待处理事项 > 2.2 MES 需沟通协调事项	未覆盖 PACKAGE 是否补表	编号=MC-02 | 需沟通对象=客户工艺/现场 + IT | 沟通事项=封装对照表不全时：是否统一退化“选任务/扫SUBLOT开门”；未覆盖 PACKAGE 是否补表 | 期望产出=书面确认兜底规则；补表计划或接受兜底 | 当前状态=现场已确认表不全，规则待书面确认	2b0cbbec51a8b0319aa41fed9c058299006a0cd8b288d6b5e89184f0775b6386	unresolved-question	needs-question-resolution	hold-for-question-or-reframing	none-found-within-r01-pass	not-approved	needs-evidence-before-candidacy	mes/docs/待处理事项清单-MES-RIOT-应用.docx	该记录要求目标环境、接口、字段、配置值或版本绑定事实；现有材料不足，不能由批准人猜测或由实现反推。	b526406f351582cecd97084e4fa567574c65197ac31a57fd5f764b4064661e18
PCR-0023	R01-A0047	R01	R01-03	mes/docs/待处理事项清单-MES-RIOT-应用.docx	table T03 row R004	二、MES 待处理事项 > 2.2 MES 需沟通协调事项	交接班部分完工、扣留出站部分完工等是否应出现在运输候选中；	编号=MC-03 | 需沟通对象=客户 IT + 现场班组长 | 沟通事项=交接班部分完工、扣留出站部分完工等是否应出现在运输候选中；若不该出现，过滤字段/状态如何写进 SQL | 期望产出=误报场景清单 + SQL/规则修订方案 | 当前状态=已识别风险，尚未系统验证	bab052a9752f30674b23b89f4a34749be9db5f5fee101214ed31ed07d921b2c0	unresolved-question	needs-question-resolution	hold-for-question-or-reframing	none-found-within-r01-pass	not-approved	graduate-hitl-question	issues/64-decide-mes-transport-candidate-inclusion-and-exclusion-boundary.md	问题已能按业务后果精确表述，并由《决定 MES 运输候选的业务纳入与排除边界》统一承载；原声明保持未批准。	dfab4bce3efd3b7049c0afddae56d9e49cfa795ea29feb4f5acdf45e82b26595
PCR-0024	R01-A0048	R01	R01-03	mes/docs/待处理事项清单-MES-RIOT-应用.docx	table T03 row R004	二、MES 待处理事项 > 2.2 MES 需沟通协调事项	若不该出现，过滤字段/状态如何写进 SQL	编号=MC-03 | 需沟通对象=客户 IT + 现场班组长 | 沟通事项=交接班部分完工、扣留出站部分完工等是否应出现在运输候选中；若不该出现，过滤字段/状态如何写进 SQL | 期望产出=误报场景清单 + SQL/规则修订方案 | 当前状态=已识别风险，尚未系统验证	f773076bc3e450501cae4e34fc8c7ed7b7b5491ae85c42b5d0741d9963ead9ef	unresolved-question	needs-question-resolution	hold-for-question-or-reframing	none-found-within-r01-pass	not-approved	graduate-hitl-question	issues/64-decide-mes-transport-candidate-inclusion-and-exclusion-boundary.md	问题已能按业务后果精确表述，并由《决定 MES 运输候选的业务纳入与排除边界》统一承载；原声明保持未批准。	c6a9e70697812a5a1de19d21eafec1b1b82d98acafebbf2eaadb43232575e434
PCR-0025	R01-A0049	R01	R01-03	mes/docs/待处理事项清单-MES-RIOT-应用.docx	table T03 row R005	二、MES 待处理事项 > 2.2 MES 需沟通协调事项	共晶、低温共晶：按 EQP 剔除的完整 EQP 清单及变更治理方式	编号=MC-04 | 需沟通对象=客户 IT | 沟通事项=共晶、低温共晶：按 EQP 剔除的完整 EQP 清单及变更治理方式 | 期望产出=EQP 白/黑名单 + 变更责任人 | 当前状态=口头确认按EQP剔除，清单未提供	3a55e0127f2e53dfa6a8decdfca41ca84e4a76c035dd2ab1057b6962ab4755b1	unresolved-question	needs-question-resolution	hold-for-question-or-reframing	none-found-within-r01-pass	not-approved	needs-evidence-before-candidacy	mes/docs/待处理事项清单-MES-RIOT-应用.docx	该记录要求目标环境、接口、字段、配置值或版本绑定事实；现有材料不足，不能由批准人猜测或由实现反推。	bc86b97f25cf70d656408c35ebed8da7864dbca445ce1877f21717b5c18299c3
PCR-0026	R01-A0050	R01	R01-03	mes/docs/待处理事项清单-MES-RIOT-应用.docx	table T03 row R006	二、MES 待处理事项 > 2.2 MES 需沟通协调事项	五类（及第六类）任务各自实际出现的 AREA 列表；	编号=MC-05 | 需沟通对象=客户 IT / 现场 | 沟通事项=五类（及第六类）任务各自实际出现的 AREA 列表；新厂前线订单是否应排除及如何排除 | 期望产出=按 TASK_TYPE 的 AREA 清单；前线排除规则 | 当前状态=已知现SQL未剔除新厂前线	5b04a8523218916ffa956bf9134b4ff5a23ad4fa205223db9e92a4ed7558333a	unresolved-question	needs-question-resolution	hold-for-question-or-reframing	none-found-within-r01-pass	not-approved	needs-evidence-before-candidacy	mes/docs/待处理事项清单-MES-RIOT-应用.docx	该记录要求目标环境、接口、字段、配置值或版本绑定事实；现有材料不足，不能由批准人猜测或由实现反推。	2a71a9a251cbb3ed8bcfe52b458619c83a1ab2ecd238f1a87375e950d19b2683
PCR-0027	R01-A0051	R01	R01-03	mes/docs/待处理事项清单-MES-RIOT-应用.docx	table T03 row R006	二、MES 待处理事项 > 2.2 MES 需沟通协调事项	新厂前线订单是否应排除及如何排除	编号=MC-05 | 需沟通对象=客户 IT / 现场 | 沟通事项=五类（及第六类）任务各自实际出现的 AREA 列表；新厂前线订单是否应排除及如何排除 | 期望产出=按 TASK_TYPE 的 AREA 清单；前线排除规则 | 当前状态=已知现SQL未剔除新厂前线	3ebac0d951ae7e2b2cb934be68c511f43975de30635034175bbd8c1a8c7b28c6	unresolved-question	needs-question-resolution	hold-for-question-or-reframing	none-found-within-r01-pass	not-approved	graduate-hitl-question	issues/64-decide-mes-transport-candidate-inclusion-and-exclusion-boundary.md	问题已能按业务后果精确表述，并由《决定 MES 运输候选的业务纳入与排除边界》统一承载；原声明保持未批准。	16db620520ecf588514b920c45b8fdb083bbe8433da4fe6798c193dcc9b54c8e
PCR-0028	R01-A0071	R01	R01-03	mes/docs/待处理事项清单-MES-RIOT-应用.docx	table T05 row R002	三、RIOT API 待处理事项 > 3.2 RIOT 需沟通协调事项	测试车、自动模式、安全区域、可写操作批准范围	编号=RC-01 | 需沟通对象=现场/运维 R-13 | 沟通事项=测试车、自动模式、安全区域、可写操作批准范围 | 期望产出=可执行的联调窗口与安全边界 | 当前状态=Behavior Lab 已有治理要求，需排期	d546e8f8164fc52b2c5d98f0267628b3602201e9400e6db6a7855c054de90b7f	unresolved-question	needs-question-resolution	hold-for-question-or-reframing	none-found-within-r01-pass	not-approved	needs-evidence-before-candidacy	mes/docs/待处理事项清单-MES-RIOT-应用.docx	该记录要求目标环境、接口、字段、配置值或版本绑定事实；现有材料不足，不能由批准人猜测或由实现反推。	3fb04a8291311105127225bbeb9585409f74b6c2cac69441ab48a333a0f62d7c
PCR-0029	R01-A0072	R01	R01-03	mes/docs/待处理事项清单-MES-RIOT-应用.docx	table T05 row R003	三、RIOT API 待处理事项 > 3.2 RIOT 需沟通协调事项	订单状态枚举含义、到站判定、物模型 multiLoad 等文档缺口	编号=RC-02 | 需沟通对象=斯坦德/RIOT 支持（必要时） | 沟通事项=订单状态枚举含义、到站判定、物模型 multiLoad 等文档缺口 | 期望产出=厂商说明或书面答复 | 当前状态=部分问题 BLOCKED	bfe2ee4a879b8f5284cd001813a447a1561efec6717ca500a648345ecb439255	unresolved-question	needs-question-resolution	hold-for-question-or-reframing	none-found-within-r01-pass	not-approved	needs-evidence-before-candidacy	mes/docs/待处理事项清单-MES-RIOT-应用.docx	该记录要求目标环境、接口、字段、配置值或版本绑定事实；现有材料不足，不能由批准人猜测或由实现反推。	47c240a5a5e52968aa867f43332e93d416de9a91b078c02754a7a43db95b8df0
PCR-0030	R01-A0073	R01	R01-03	mes/docs/待处理事项清单-MES-RIOT-应用.docx	table T05 row R004	三、RIOT API 待处理事项 > 3.2 RIOT 需沟通协调事项	确认“假设状态图由人工先画、实验后固化”的工作方式，避免未验证结论进入需求	编号=RC-03 | 需沟通对象=项目组内部 | 沟通事项=确认“假设状态图由人工先画、实验后固化”的工作方式，避免未验证结论进入需求 | 期望产出=工作约定写入本周计划 | 当前状态=待确认	0a5afc6fd3733dbb9d3027c7eb0c7a3c043080f835fd85d78a8e8880d1082adb	unresolved-question	needs-question-resolution	hold-for-question-or-reframing	none-found-within-r01-pass	not-approved	duplicate-or-evidence-only	singleton	该行只记录标题、分类、历史待办/阻塞状态、问题索引、重复标签或收敛说明；保留作证据，不单独形成需求决定。	8899447e2ec98c6bdf4c0f6eae7447db571efe7ba4cb286a9931fa16b3c13ef4
PCR-0031	R01-A0094	R01	R01-03	mes/docs/待处理事项清单-MES-RIOT-应用.docx	table T08 row R003	四、应用 / 需求文档待处理事项 > 4.3 应用侧需沟通协调事项	同站多任务：取消是否仍永久抑制；	编号=AC-02 | 需沟通对象=客户业务/现场 | 沟通事项=同站多任务：取消是否仍永久抑制；列表排序规则；是否允许一次带走多 SUBLOT | 期望产出=交互与规则确认 | 当前状态=未入需求文档	8332528c8a9809fb3b3b0d08e7c1ebe0b9f080ff6cb71ef1e1f83f17d227bea4	unresolved-question	needs-question-resolution	hold-for-question-or-reframing	none-found-within-r01-pass	not-approved	covered-by-approved-decision	issues/56-decide-transport-demand-identity-reconcile-key-and-cancellation-suppression-boundary.md	同站取消仍受 TransportDemandKey 永久抑制规则约束。	36a45109e93e61b59ea467cac7675f696793f2904afaa417e552c39e3b1c3aa3
PCR-0032	R01-A0095	R01	R01-03	mes/docs/待处理事项清单-MES-RIOT-应用.docx	table T08 row R003	四、应用 / 需求文档待处理事项 > 4.3 应用侧需沟通协调事项	列表排序规则；	编号=AC-02 | 需沟通对象=客户业务/现场 | 沟通事项=同站多任务：取消是否仍永久抑制；列表排序规则；是否允许一次带走多 SUBLOT | 期望产出=交互与规则确认 | 当前状态=未入需求文档	e71d0eafdf32a873e3a2358e8744648f330546e7fe82bdaf2740f4beba07c343	unresolved-question	needs-question-resolution	hold-for-question-or-reframing	none-found-within-r01-pass	not-approved	graduate-hitl-question	issues/66-decide-dispatch-ranking-route-cost-and-no-response-escalation.md	问题已能按业务后果精确表述，并由《决定派车评分、路网成本与无车响应升级规则》统一承载；原声明保持未批准。	a8b0261387bf70bbfc1b26d800dbc4f8e82dbc907fef3b56e18918f7037fac0f
