candidate_id	batch_id	source_record_id	source_path	source_sha256	exact_location	section_path	statement_text	source_context	statement_fingerprint	candidate_class	source_claim_status	applicable_scope	baseline_route	duplicate_or_derivation	conflict_pointer	approval_state	approval_gap	exact_text_sha256	semantic_normalized_sha256	exact_text_cluster_id	normalized_text_cluster_id	semantic_review_cluster_id	relation_to_cluster_representative	review_disposition	approval_batch_id	graduate_conflict_pointers	version_scope_pointers
R01-A0011	R01	R01-03	mes/docs/待处理事项清单-MES-RIOT-应用.docx	966aec692696684299439c170b1a88dab7e9a3b3c0820c8c6417542d6c83980e	table T01 row R003	一、总览	地图/路径API未测；	类别=RIOT API | 待处理项数=5 | 本周优先=是 | 主要阻塞=订单状态契约未探明；地图/路径API未测；可用API清单筛选中	8f87df8c7917b4d27e9416886234dbc3c3a4f1b041ae9caac698278950544718	unresolved-question	historical-worklist	project-governance	needs-question-resolution	historical-worklist; statements that prescribe a suggested action are not customer requirements	none-found-within-r01-pass	not-approved	named-approver;approval-date;approved-scope;version-or-sha256-binding	7ffacf6447f98c33eb00cde1a2fe3a7f50efb62abbd7895e0c704c606c75e07a	ac040a54f1051aa4d96bd7a05d2b10f948d4e8a5ebfd7e20adb858f1cc4e94ee				singleton	hold-for-question-or-reframing			
R01-A0012	R01	R01-03	mes/docs/待处理事项清单-MES-RIOT-应用.docx	966aec692696684299439c170b1a88dab7e9a3b3c0820c8c6417542d6c83980e	table T01 row R003	一、总览	可用API清单筛选中	类别=RIOT API | 待处理项数=5 | 本周优先=是 | 主要阻塞=订单状态契约未探明；地图/路径API未测；可用API清单筛选中	4ae40506d7764328f3f80818c53aa0488312e2e21020bed02f697f5098d79c31	unresolved-question	historical-worklist	project-governance	needs-question-resolution	historical-worklist; statements that prescribe a suggested action are not customer requirements	none-found-within-r01-pass	not-approved	named-approver;approval-date;approved-scope;version-or-sha256-binding	29aabac52c0a13ff32de8eb1ebfa46382d601cf74805a89e05a63ff389cabdf3	4ae40506d7764328f3f80818c53aa0488312e2e21020bed02f697f5098d79c31				singleton	hold-for-question-or-reframing			
R01-A0013	R01	R01-03	mes/docs/待处理事项清单-MES-RIOT-应用.docx	966aec692696684299439c170b1a88dab7e9a3b3c0820c8c6417542d6c83980e	table T01 row R004	一、总览	类别=应用/需求 | 待处理项数=7 | 本周优先=文档补齐优先 | 主要阻塞=4项新功能未入需求文档；	类别=应用/需求 | 待处理项数=7 | 本周优先=文档补齐优先 | 主要阻塞=4项新功能未入需求文档；缺架构与详细设计	7bbf291021f4e3e6c6279c1bfac1597f10608d22d847506676f6be6568e8b1c3	unresolved-question	historical-worklist	project-governance	needs-question-resolution	historical-worklist; statements that prescribe a suggested action are not customer requirements	none-found-within-r01-pass	not-approved	named-approver;approval-date;approved-scope;version-or-sha256-binding	4accb2b1a4a0295bef97fe23f469def54ab43450c3b9ca80c067a55aa850f140	ceca7494094ad88b768327e81bcf3c2c8c7f45e3c0f87efc0e4734d2d39b7136				singleton	hold-for-question-or-reframing			
R01-A0014	R01	R01-03	mes/docs/待处理事项清单-MES-RIOT-应用.docx	966aec692696684299439c170b1a88dab7e9a3b3c0820c8c6417542d6c83980e	table T01 row R004	一、总览	缺架构与详细设计	类别=应用/需求 | 待处理项数=7 | 本周优先=文档补齐优先 | 主要阻塞=4项新功能未入需求文档；缺架构与详细设计	709bdec2f174cb1957f8a66d1ea739e2f7be7dc23a1233cfb02e66a6228d6e66	unresolved-question	historical-worklist	project-governance	needs-question-resolution	historical-worklist; statements that prescribe a suggested action are not customer requirements	none-found-within-r01-pass	not-approved	named-approver;approval-date;approved-scope;version-or-sha256-binding	709bdec2f174cb1957f8a66d1ea739e2f7be7dc23a1233cfb02e66a6228d6e66	709bdec2f174cb1957f8a66d1ea739e2f7be7dc23a1233cfb02e66a6228d6e66				singleton	hold-for-question-or-reframing			
R01-A0015	R01	R01-03	mes/docs/待处理事项清单-MES-RIOT-应用.docx	966aec692696684299439c170b1a88dab7e9a3b3c0820c8c6417542d6c83980e	table T01 row R005	一、总览	类别=客户沟通 | 待处理项数=5 | 本周优先=是 | 主要阻塞=SQL/EQP/AREA/封装覆盖/异常任务规则	类别=客户沟通 | 待处理项数=5 | 本周优先=是 | 主要阻塞=SQL/EQP/AREA/封装覆盖/异常任务规则	9055399165084f4e01cd50c24966f05813f7b247ab66bcabc74f9d5ac3547984	unresolved-question	historical-worklist	project-governance	needs-question-resolution	historical-worklist; statements that prescribe a suggested action are not customer requirements	none-found-within-r01-pass	not-approved	named-approver;approval-date;approved-scope;version-or-sha256-binding	fa952e6d9e88e34f42ad784279938a51961979d6102d9569c2ac23a4e557929c	d1d0260c656d39bd1a22f70f5ee8b582a526c252a3c5a66116f615bba485ab88				singleton	hold-for-question-or-reframing			
R01-A0016	R01	R01-03	mes/docs/待处理事项清单-MES-RIOT-应用.docx	966aec692696684299439c170b1a88dab7e9a3b3c0820c8c6417542d6c83980e	table T02 row R002	二、MES 待处理事项 > 2.1 待处理事项与预计时间	跟进第六类任务 SQL （焊线1完工→焊线氮气柜）；	编号=M-01 | 待处理事项=跟进第六类任务 SQL （焊线1完工→焊线氮气柜） | 说明/验收要点=IT群已询问，客户未反馈。拿到SQL后：登记 QUERY_ID、并入 UNION、补契约字段、补实验与样本。 | 预计时间=收到SQL后 1～2 天 （等待不计入） | 优先级=P0	cc83e16fc84a6db68c8889f7252d34bb67b3bb8a704353548d198ab7e03f02d4	unresolved-question	historical-worklist	MES-integration	needs-question-resolution	historical-worklist; statements that prescribe a suggested action are not customer requirements	none-found-within-r01-pass	not-approved	named-approver;approval-date;approved-scope;version-or-sha256-binding	f187c197ae1e6284a901ff9836831c19bf4db30f42cb0df2391c780b4f01875e	28f3b0d09cdcc7fb82467cad4c1c450891850f0aab05cc96a896a4e61d9ac87e				singleton	hold-for-question-or-reframing			
R01-A0017	R01	R01-03	mes/docs/待处理事项清单-MES-RIOT-应用.docx	966aec692696684299439c170b1a88dab7e9a3b3c0820c8c6417542d6c83980e	table T02 row R002	二、MES 待处理事项 > 2.1 待处理事项与预计时间	IT群已询问，客户未反馈。	编号=M-01 | 待处理事项=跟进第六类任务 SQL （焊线1完工→焊线氮气柜） | 说明/验收要点=IT群已询问，客户未反馈。拿到SQL后：登记 QUERY_ID、并入 UNION、补契约字段、补实验与样本。 | 预计时间=收到SQL后 1～2 天 （等待不计入） | 优先级=P0	130b0c299bed44a6e5bb4ab2b73b78b6ba43a52b312f60ff6ddca1d96f287276	unresolved-question	historical-worklist	MES-integration	needs-question-resolution	historical-worklist; statements that prescribe a suggested action are not customer requirements	none-found-within-r01-pass	not-approved	named-approver;approval-date;approved-scope;version-or-sha256-binding	e2c42a17ec305e724e78bac2182202c84068faa77d2609db8fa4885d9e247ad6	2531921b9954d1abb95b30fe0b2262630193d32ad7fa999358af19a80a48a413				singleton	hold-for-question-or-reframing			
R01-A0018	R01	R01-03	mes/docs/待处理事项清单-MES-RIOT-应用.docx	966aec692696684299439c170b1a88dab7e9a3b3c0820c8c6417542d6c83980e	table T02 row R002	二、MES 待处理事项 > 2.1 待处理事项与预计时间	拿到SQL后：登记 QUERY_ID、并入 UNION、补契约字段、补实验与样本。	编号=M-01 | 待处理事项=跟进第六类任务 SQL （焊线1完工→焊线氮气柜） | 说明/验收要点=IT群已询问，客户未反馈。拿到SQL后：登记 QUERY_ID、并入 UNION、补契约字段、补实验与样本。 | 预计时间=收到SQL后 1～2 天 （等待不计入） | 优先级=P0	2b33283e075d01ffa5623da2aec07cf31b5b3e2560dc9f5815c794cf0e62419e	unresolved-question	historical-worklist	MES-integration,onboard-and-site-operations	needs-question-resolution	historical-worklist; statements that prescribe a suggested action are not customer requirements	none-found-within-r01-pass	not-approved	named-approver;approval-date;approved-scope;version-or-sha256-binding	bb0386187e4c744ce85f6096cc8826784df9e5d6f7c87e9250f90c464d09debc	6a280a5382a6552e71c504e599ec3ceb008ec14badd97f1121eb95143224f7ec				singleton	hold-for-question-or-reframing			
R01-A0019	R01	R01-03	mes/docs/待处理事项清单-MES-RIOT-应用.docx	966aec692696684299439c170b1a88dab7e9a3b3c0820c8c6417542d6c83980e	table T02 row R003	二、MES 待处理事项 > 2.1 待处理事项与预计时间	封装/花篮容量对照缺口处理；	编号=M-02 | 待处理事项=封装/花篮容量对照缺口处理 | 说明/验收要点=客户表仅十余种封装，MES可查到未覆盖 PACKAGE。确认：查不到容量时退化到「选 SUBLOT / 扫码 → 开门」兜底（9.3），并写入正式需求与实现约束。 | 预计时间=0.5 天（规则固化） 覆盖率治理另计 2～3 天 | 优先级=P0	17da42756ee4407bba7e2d3296567e178352838e4f9ce196b69ea499b63862f4	historical-state-evidence	historical-worklist	MES-integration	evidence-only	historical-worklist; statements that prescribe a suggested action are not customer requirements	none-found-within-r01-pass	not-approved	named-approver;approval-date;approved-scope;version-or-sha256-binding	17da42756ee4407bba7e2d3296567e178352838e4f9ce196b69ea499b63862f4	016aaa52118e068e0a3c46799d9d35825a655700e26a8a9e761ec45162a31fa0				singleton	evidence-only			
R01-A0020	R01	R01-03	mes/docs/待处理事项清单-MES-RIOT-应用.docx	966aec692696684299439c170b1a88dab7e9a3b3c0820c8c6417542d6c83980e	table T02 row R003	二、MES 待处理事项 > 2.1 待处理事项与预计时间	客户表仅十余种封装，MES可查到未覆盖 PACKAGE。	编号=M-02 | 待处理事项=封装/花篮容量对照缺口处理 | 说明/验收要点=客户表仅十余种封装，MES可查到未覆盖 PACKAGE。确认：查不到容量时退化到「选 SUBLOT / 扫码 → 开门」兜底（9.3），并写入正式需求与实现约束。 | 预计时间=0.5 天（规则固化） 覆盖率治理另计 2～3 天 | 优先级=P0	22e8d1b637c2b9a1ed48763249a14d28e8cfa12755ad0109e6ded5102d22f0b9	historical-state-evidence	historical-worklist	MES-integration	evidence-only	historical-worklist; statements that prescribe a suggested action are not customer requirements	none-found-within-r01-pass	not-approved	named-approver;approval-date;approved-scope;version-or-sha256-binding	af38dfe97fbd342eb488a32ef75c28cfbba54f62af93c9ff93c453b71de93680	65fc89b0bdb641ff92f3cd9cb0cd285e5d7edc61fa1be0455da17e3000a2aaa2				singleton	evidence-only			
R01-A0021	R01	R01-03	mes/docs/待处理事项清单-MES-RIOT-应用.docx	966aec692696684299439c170b1a88dab7e9a3b3c0820c8c6417542d6c83980e	table T02 row R003	二、MES 待处理事项 > 2.1 待处理事项与预计时间	确认：查不到容量时退化到「选 SUBLOT / 扫码 → 开门」兜底（9.3），并写入正式需求与实现约束。	编号=M-02 | 待处理事项=封装/花篮容量对照缺口处理 | 说明/验收要点=客户表仅十余种封装，MES可查到未覆盖 PACKAGE。确认：查不到容量时退化到「选 SUBLOT / 扫码 → 开门」兜底（9.3），并写入正式需求与实现约束。 | 预计时间=0.5 天（规则固化） 覆盖率治理另计 2～3 天 | 优先级=P0	0f0718b49eb98d9978b24f3cc5e565afe7ee10fb4b8bb5e918d088829cce5bd9	historical-state-evidence	historical-worklist	MES-integration,onboard-and-site-operations	evidence-only	historical-worklist; statements that prescribe a suggested action are not customer requirements	none-found-within-r01-pass	not-approved	named-approver;approval-date;approved-scope;version-or-sha256-binding	bebff506c68537c7343cb35bd41418dd8f007191238d8aabfbe284c67aa0fc66	13c29498a30f6239d37ae4bd29169ab086798df8445dfdb439a55484df32669f				singleton	evidence-only			
R01-A0022	R01	R01-03	mes/docs/待处理事项清单-MES-RIOT-应用.docx	966aec692696684299439c170b1a88dab7e9a3b3c0820c8c6417542d6c83980e	table T02 row R004	二、MES 待处理事项 > 2.1 待处理事项与预计时间	MES 现场任务准确性验证；	编号=M-03 | 待处理事项=MES 现场任务准确性验证 | 说明/验收要点=验证查询结果是否=现场应建任务。至少覆盖误查场景： 1）交接班：部分完工、下个班组继续生产； 2）扣留出站且部分完工。 输出误报样本、与客户IT共定过滤规则或SQL修订。 | 预计时间=联调窗口 3～5 天 （含样本与结论文档） | 优先级=P0	ae6ee1c248795c1578b68541a766bf556218e53fc1cbb781b700eab4b48fe720	historical-state-evidence	historical-worklist	MES-integration	evidence-only	historical-worklist; statements that prescribe a suggested action are not customer requirements	none-found-within-r01-pass	not-approved	named-approver;approval-date;approved-scope;version-or-sha256-binding	d7ce76d910215e8180294f0ad82dbe09be55b7c3af3a6ef9180c8ed87bd79bd8	7b2999c15cf09aef3e2a4b64db4bac799988bc178f643b7efdbb405aa9911373				singleton	evidence-only			
R01-A0023	R01	R01-03	mes/docs/待处理事项清单-MES-RIOT-应用.docx	966aec692696684299439c170b1a88dab7e9a3b3c0820c8c6417542d6c83980e	table T02 row R004	二、MES 待处理事项 > 2.1 待处理事项与预计时间	验证查询结果是否=现场应建任务。	编号=M-03 | 待处理事项=MES 现场任务准确性验证 | 说明/验收要点=验证查询结果是否=现场应建任务。至少覆盖误查场景： 1）交接班：部分完工、下个班组继续生产； 2）扣留出站且部分完工。 输出误报样本、与客户IT共定过滤规则或SQL修订。 | 预计时间=联调窗口 3～5 天 （含样本与结论文档） | 优先级=P0	5f92b08a6eace6cb19352d669582fc2770115e54654b2aa0756c0dbf9cac835d	historical-state-evidence	historical-worklist	MES-integration	evidence-only	historical-worklist; statements that prescribe a suggested action are not customer requirements	none-found-within-r01-pass	not-approved	named-approver;approval-date;approved-scope;version-or-sha256-binding	5f92b08a6eace6cb19352d669582fc2770115e54654b2aa0756c0dbf9cac835d	742461437809abd133aefb243c8e9d6a778c1fbfab292123935c16e5f8f355d5				singleton	evidence-only			
R01-A0024	R01	R01-03	mes/docs/待处理事项清单-MES-RIOT-应用.docx	966aec692696684299439c170b1a88dab7e9a3b3c0820c8c6417542d6c83980e	table T02 row R004	二、MES 待处理事项 > 2.1 待处理事项与预计时间	至少覆盖误查场景： 1）交接班：部分完工、下个班组继续生产；	编号=M-03 | 待处理事项=MES 现场任务准确性验证 | 说明/验收要点=验证查询结果是否=现场应建任务。至少覆盖误查场景： 1）交接班：部分完工、下个班组继续生产； 2）扣留出站且部分完工。 输出误报样本、与客户IT共定过滤规则或SQL修订。 | 预计时间=联调窗口 3～5 天 （含样本与结论文档） | 优先级=P0	8230b25335e5d2f65bf8d84ef4a46fcf7bde8fe374731aec44f85b4c238e6825	historical-state-evidence	historical-worklist	MES-integration	evidence-only	historical-worklist; statements that prescribe a suggested action are not customer requirements	none-found-within-r01-pass	not-approved	named-approver;approval-date;approved-scope;version-or-sha256-binding	b21cba2138a4dc0b760eb7bd4da0a65630b3b3cdb01aa993837c9dceaefd164c	4466e87e76f6794b4b6b68213ee70b0e5678036a4d5cb3e035c5966e6236ce84				singleton	evidence-only			
R01-A0025	R01	R01-03	mes/docs/待处理事项清单-MES-RIOT-应用.docx	966aec692696684299439c170b1a88dab7e9a3b3c0820c8c6417542d6c83980e	table T02 row R004	二、MES 待处理事项 > 2.1 待处理事项与预计时间	2）扣留出站且部分完工。	编号=M-03 | 待处理事项=MES 现场任务准确性验证 | 说明/验收要点=验证查询结果是否=现场应建任务。至少覆盖误查场景： 1）交接班：部分完工、下个班组继续生产； 2）扣留出站且部分完工。 输出误报样本、与客户IT共定过滤规则或SQL修订。 | 预计时间=联调窗口 3～5 天 （含样本与结论文档） | 优先级=P0	a7036ee3085c16807bc06ef12c98395e6dd3e24ef535886e7bb087bbf63f6c47	historical-state-evidence	historical-worklist	MES-integration	evidence-only	historical-worklist; statements that prescribe a suggested action are not customer requirements	none-found-within-r01-pass	not-approved	named-approver;approval-date;approved-scope;version-or-sha256-binding	a7036ee3085c16807bc06ef12c98395e6dd3e24ef535886e7bb087bbf63f6c47	65b30aa95bd0d774f2688d05654cb57b0d4945205e2354d0fa66fc0b007226fb				singleton	evidence-only			
R01-A0026	R01	R01-03	mes/docs/待处理事项清单-MES-RIOT-应用.docx	966aec692696684299439c170b1a88dab7e9a3b3c0820c8c6417542d6c83980e	table T02 row R004	二、MES 待处理事项 > 2.1 待处理事项与预计时间	输出误报样本、与客户IT共定过滤规则或SQL修订。	编号=M-03 | 待处理事项=MES 现场任务准确性验证 | 说明/验收要点=验证查询结果是否=现场应建任务。至少覆盖误查场景： 1）交接班：部分完工、下个班组继续生产； 2）扣留出站且部分完工。 输出误报样本、与客户IT共定过滤规则或SQL修订。 | 预计时间=联调窗口 3～5 天 （含样本与结论文档） | 优先级=P0	ed113987b2e0988ff8935f75523c09c94d1676bc14535a32b7b950fb1506efc7	historical-state-evidence	historical-worklist	MES-integration	evidence-only	historical-worklist; statements that prescribe a suggested action are not customer requirements	none-found-within-r01-pass	not-approved	named-approver;approval-date;approved-scope;version-or-sha256-binding	036044685280faa9e64dbab5e311253780663c0a3cf595901d631256cd8a3805	52bcca9af135b3a8d7570a376fb9f06287f2e4da3d2926ea3932b546cb2b81f1				singleton	evidence-only			
R01-A0027	R01	R01-03	mes/docs/待处理事项清单-MES-RIOT-应用.docx	966aec692696684299439c170b1a88dab7e9a3b3c0820c8c6417542d6c83980e	table T02 row R005	二、MES 待处理事项 > 2.1 待处理事项与预计时间	补充完整任务状态图；	编号=M-04 | 待处理事项=补充完整任务状态图 | 说明/验收要点=获取/去重/过滤已确认，但缺完整状态图。补齐：PENDING～COMPLETED/CANCELLED/EXCEPTION、MES消失保护、人工永久抑制、位置异常、上游依赖等待等。 | 预计时间=1～1.5 天 | 优先级=P0	aefc0e4b68e2ea657eef2783e6007ff0f0c27d09355f7175b7f3c83a6fe034f1	unresolved-question	historical-worklist	MES-integration	needs-question-resolution	historical-worklist; statements that prescribe a suggested action are not customer requirements	none-found-within-r01-pass	not-approved	named-approver;approval-date;approved-scope;version-or-sha256-binding	aefc0e4b68e2ea657eef2783e6007ff0f0c27d09355f7175b7f3c83a6fe034f1	4fa3aab2d808bb9fe4370ec608aa88254fbbd2072caa7c11cda69a1e72765b72				singleton	hold-for-question-or-reframing			
