RequirementId	Title	OriginalScope	MvpFinalClassification	ControlServerImpact	OnboardHmiImpact	SharedProtocolImpact	FullProductCluster	ClusterBasis	Batch	Batch0FormNote	PreviousBatch	ChangeProposal
REQ-0011	TransportDemand 是 DemandSeries 内的一代实例。当前 Demand GONE 后…	8005 MesIngest Windows Service、Host/领域投影、SQL Server、版本化 API/OpenAPI、MesIngestWatch 与外部可读目录	MVP 交互／安全依赖	读取并冻结目录身份；不得重建 MES 事实。	仅展示服务端已接受的 Demand 摘要，不自行读取 MES。	需要携带已接受执行身份和必要来源修订，不复制 MesIngest DTO。	FP-B0 批次 0 候选（MVP 已覆盖）	MVP 剖面 FinalClassification=MVP 交互／安全依赖	BATCH-0		BATCH-0	
REQ-0012	当前 VISIBLE Demand 的唯一原始行实时形成 LiveMesFieldSet；AREA、EQP、…	8005 MesIngest Windows Service、Host/领域投影、SQL Server、版本化 API/OpenAPI、MesIngestWatch 与外部可读目录	MVP 交互／安全依赖	读取并冻结目录身份；不得重建 MES 事实。	仅展示服务端已接受的 Demand 摘要，不自行读取 MES。	需要携带已接受执行身份和必要来源修订，不复制 MesIngest DTO。	FP-B0 批次 0 候选（MVP 已覆盖）	MVP 剖面 FinalClassification=MVP 交互／安全依赖	BATCH-0		BATCH-0	
REQ-0013	DuplicateTransportDemandKeyObservation 保存同键的全部规范化原始行，不…	8005 MesIngest Windows Service、Host/领域投影、SQL Server、版本化 API/OpenAPI、MesIngestWatch 与外部可读目录	MVP 交互／安全依赖	读取并冻结目录身份；不得重建 MES 事实。	仅展示服务端已接受的 Demand 摘要，不自行读取 MES。	需要携带已接受执行身份和必要来源修订，不复制 MesIngest DTO。	FP-B0 批次 0 候选（MVP 已覆盖）	MVP 剖面 FinalClassification=MVP 交互／安全依赖	BATCH-0		BATCH-0	
REQ-0014	WorkType 来自 TASK_TYPE 并参与业务键；同一 SUBLOT 多 WorkType 各自形成…	8005 MesIngest Windows Service、Host/领域投影、SQL Server、版本化 API/OpenAPI、MesIngestWatch 与外部可读目录	MVP 交互／安全依赖	读取并冻结目录身份；不得重建 MES 事实。	仅展示服务端已接受的 Demand 摘要，不自行读取 MES。	需要携带已接受执行身份和必要来源修订，不复制 MesIngest DTO。	FP-B0 批次 0 候选（MVP 已覆盖）	MVP 剖面 FinalClassification=MVP 交互／安全依赖	BATCH-0		BATCH-0	
REQ-0015	Demand 缺席只能由模块根据完整 SUCCESS、RestartBarrier 和 TaskTypePr…	8005 MesIngest Windows Service、Host/领域投影、SQL Server、版本化 API/OpenAPI、MesIngestWatch 与外部可读目录	MVP 交互／安全依赖	读取并冻结目录身份；不得重建 MES 事实。	仅展示服务端已接受的 Demand 摘要，不自行读取 MES。	需要携带已接受执行身份和必要来源修订，不复制 MesIngest DTO。	FP-B0 批次 0 候选（MVP 已覆盖）	MVP 剖面 FinalClassification=MVP 交互／安全依赖	BATCH-0		BATCH-0	
REQ-0016	服务启动进入两轮重启保护：第一轮完整结果建立基线，第二轮结束保护，下一轮才拥有缺席权威。保护阶段仍可创建/更…	8005 MesIngest Windows Service、Host/领域投影、SQL Server、版本化 API/OpenAPI、MesIngestWatch 与外部可读目录	MVP 交互／安全依赖	读取并冻结目录身份；不得重建 MES 事实。	仅展示服务端已接受的 Demand 摘要，不自行读取 MES。	需要携带已接受执行身份和必要来源修订，不复制 MesIngest DTO。	FP-B0 批次 0 候选（MVP 已覆盖）	MVP 剖面 FinalClassification=MVP 交互／安全依赖	BATCH-0		BATCH-0	
REQ-0017	PausedZeroDrop / TaskTypeProtection 沿用每 WorkType 健康非零基…	8005 MesIngest Windows Service、Host/领域投影、SQL Server、版本化 API/OpenAPI、MesIngestWatch 与外部可读目录	MVP 交互／安全依赖	读取并冻结目录身份；不得重建 MES 事实。	仅展示服务端已接受的 Demand 摘要，不自行读取 MES。	需要携带已接受执行身份和必要来源修订，不复制 MesIngest DTO。	FP-B0 批次 0 候选（MVP 已覆盖）	MVP 剖面 FinalClassification=MVP 交互／安全依赖	BATCH-0		BATCH-0	
REQ-0018	有缺席权威的首个完整成功缺席轮次即把当前 Demand 标为 GONE；不再沿用旧版“连续两轮缺席才 GON…	8005 MesIngest Windows Service、Host/领域投影、SQL Server、版本化 API/OpenAPI、MesIngestWatch 与外部可读目录	MVP 交互／安全依赖	读取并冻结目录身份；不得重建 MES 事实。	仅展示服务端已接受的 Demand 摘要，不自行读取 MES。	需要携带已接受执行身份和必要来源修订，不复制 MesIngest DTO。	FP-B0 批次 0 候选（MVP 已覆盖）	MVP 剖面 FinalClassification=MVP 交互／安全依赖	BATCH-0		BATCH-0	
REQ-0019	DemandSeries 从 GoneConfirmedAt 起连续 GONE 满 12 小时后，只能在后续…	8005 MesIngest Windows Service、Host/领域投影、SQL Server、版本化 API/OpenAPI、MesIngestWatch 与外部可读目录	MVP 交互／安全依赖	读取并冻结目录身份；不得重建 MES 事实。	仅展示服务端已接受的 Demand 摘要，不自行读取 MES。	需要携带已接受执行身份和必要来源修订，不复制 MesIngest DTO。	FP-B0 批次 0 候选（MVP 已覆盖）	MVP 剖面 FinalClassification=MVP 交互／安全依赖	BATCH-0		BATCH-0	
REQ-0020	归档是不可逆生命周期转换。归档后重现继续原 Series 并创建新的 Watch Demand 世代，但产生…	8005 MesIngest Windows Service、Host/领域投影、SQL Server、版本化 API/OpenAPI、MesIngestWatch 与外部可读目录	MVP 交互／安全依赖	读取并冻结目录身份；不得重建 MES 事实。	仅展示服务端已接受的 Demand 摘要，不自行读取 MES。	需要携带已接受执行身份和必要来源修订，不复制 MesIngest DTO。	FP-B0 批次 0 候选（MVP 已覆盖）	MVP 剖面 FinalClassification=MVP 交互／安全依赖	BATCH-0		BATCH-0	
REQ-0021	SeriesErrorCatalog 由领域契约版本化发布。第一版五个代码和四个主分类固定；代码可以新增或 …	8005 MesIngest Windows Service、Host/领域投影、SQL Server、版本化 API/OpenAPI、MesIngestWatch 与外部可读目录	MVP 交互／安全依赖	读取并冻结目录身份；不得重建 MES 事实。	仅展示服务端已接受的 Demand 摘要，不自行读取 MES。	需要携带已接受执行身份和必要来源修订，不复制 MesIngest DTO。	FP-B0 批次 0 候选（MVP 已覆盖）	MVP 剖面 FinalClassification=MVP 交互／安全依赖	BATCH-0		BATCH-0	
REQ-0022	DemandSeriesCurrentCondition 是 DemandSeriesEvent 的当前投影…	8005 MesIngest Windows Service、Host/领域投影、SQL Server、版本化 API/OpenAPI、MesIngestWatch 与外部可读目录	MVP 交互／安全依赖	读取并冻结目录身份；不得重建 MES 事实。	仅展示服务端已接受的 Demand 摘要，不自行读取 MES。	需要携带已接受执行身份和必要来源修订，不复制 MesIngest DTO。	FP-B0 批次 0 候选（MVP 已覆盖）	MVP 剖面 FinalClassification=MVP 交互／安全依赖	BATCH-0		BATCH-0	
REQ-0023	DemandSeriesErrorPeriod 从事件推导并永久保留。Demand 级错误不得跨 Deman…	8005 MesIngest Windows Service、Host/领域投影、SQL Server、版本化 API/OpenAPI、MesIngestWatch 与外部可读目录	MVP 交互／安全依赖	读取并冻结目录身份；不得重建 MES 事实。	仅展示服务端已接受的 Demand 摘要，不自行读取 MES。	需要携带已接受执行身份和必要来源修订，不复制 MesIngest DTO。	FP-B0 批次 0 候选（MVP 已覆盖）	MVP 剖面 FinalClassification=MVP 交互／安全依赖	BATCH-0		BATCH-0	
REQ-0024	Series 错误证据使用 Host 在完整成功轮次中的 UTC 时间；不使用 MesSourceDate …	8005 MesIngest Windows Service、Host/领域投影、SQL Server、版本化 API/OpenAPI、MesIngestWatch 与外部可读目录	MVP 交互／安全依赖	读取并冻结目录身份；不得重建 MES 事实。	仅展示服务端已接受的 Demand 摘要，不自行读取 MES。	需要携带已接受执行身份和必要来源修订，不复制 MesIngest DTO。	FP-B0 批次 0 候选（MVP 已覆盖）	MVP 剖面 FinalClassification=MVP 交互／安全依赖	BATCH-0		BATCH-0	
REQ-0025	错误期间只由完整 SUCCESS 的明确反证以 CONDITION_CLEARED 或 DEMAND_GON…	8005 MesIngest Windows Service、Host/领域投影、SQL Server、版本化 API/OpenAPI、MesIngestWatch 与外部可读目录	MVP 交互／安全依赖	读取并冻结目录身份；不得重建 MES 事实。	仅展示服务端已接受的 Demand 摘要，不自行读取 MES。	需要携带已接受执行身份和必要来源修订，不复制 MesIngest DTO。	FP-B0 批次 0 候选（MVP 已覆盖）	MVP 剖面 FinalClassification=MVP 交互／安全依赖	BATCH-0		BATCH-0	
REQ-0026	ExternallyReadableDemand 的判定由领域层集中执行：VISIBLE、唯一观测、全部必填…	8005 MesIngest Windows Service、Host/领域投影、SQL Server、版本化 API/OpenAPI、MesIngestWatch 与外部可读目录	MVP 直接必须	读取并冻结目录身份；不得重建 MES 事实。	仅展示服务端已接受的 Demand 摘要，不自行读取 MES。	需要携带已接受执行身份和必要来源修订，不复制 MesIngest DTO。	FP-B0 批次 0 候选（MVP 已覆盖）	MVP 剖面 FinalClassification=MVP 直接必须	BATCH-0		BATCH-0	
REQ-0027	ReadabilityBlockerCatalog 与 SeriesErrorCatalog 分离。阻断码解…	8005 MesIngest Windows Service、Host/领域投影、SQL Server、版本化 API/OpenAPI、MesIngestWatch 与外部可读目录	MVP 交互／安全依赖	读取并冻结目录身份；不得重建 MES 事实。	仅展示服务端已接受的 Demand 摘要，不自行读取 MES。	需要携带已接受执行身份和必要来源修订，不复制 MesIngest DTO。	FP-B0 批次 0 候选（MVP 已覆盖）	MVP 剖面 FinalClassification=MVP 交互／安全依赖	BATCH-0		BATCH-0	
REQ-0028	ExternallyReadableDemandCatalog 始终包含全范围的当前合格 Demand，不接…	8005 MesIngest Windows Service、Host/领域投影、SQL Server、版本化 API/OpenAPI、MesIngestWatch 与外部可读目录	MVP 直接必须	读取并冻结目录身份；不得重建 MES 事实。	仅展示服务端已接受的 Demand 摘要，不自行读取 MES。	需要携带已接受执行身份和必要来源修订，不复制 MesIngest DTO。	FP-B0 批次 0 候选（MVP 已覆盖）	MVP 剖面 FinalClassification=MVP 直接必须	BATCH-0		BATCH-0	
REQ-0029	CatalogRevision 是单调版本，仅在目录成员或成员业务值变化时递增；同一轮多项变化只产生一个新修…	8005 MesIngest Windows Service、Host/领域投影、SQL Server、版本化 API/OpenAPI、MesIngestWatch 与外部可读目录	MVP 直接必须	读取并冻结目录身份；不得重建 MES 事实。	仅展示服务端已接受的 Demand 摘要，不自行读取 MES。	需要携带已接受执行身份和必要来源修订，不复制 MesIngest DTO。	FP-B0 批次 0 候选（MVP 已覆盖）	MVP 剖面 FinalClassification=MVP 直接必须	BATCH-0		BATCH-0	
REQ-0030	新契约删除 DemandChangeFeed、bootstrap high-watermark 和 SYNC…	8005 MesIngest Windows Service、Host/领域投影、SQL Server、版本化 API/OpenAPI、MesIngestWatch 与外部可读目录	MVP 直接必须	读取并冻结目录身份；不得重建 MES 事实。	仅展示服务端已接受的 Demand 摘要，不自行读取 MES。	需要携带已接受执行身份和必要来源修订，不复制 MesIngest DTO。	FP-B0 批次 0 候选（MVP 已覆盖）	MVP 剖面 FinalClassification=MVP 直接必须	BATCH-0		BATCH-0	
REQ-0031	外部消费者在执行承诺点必须最终读取并保存不可变 AcceptedDemandSnapshot、Catalog…	8005 MesIngest Windows Service、Host/领域投影、SQL Server、版本化 API/OpenAPI、MesIngestWatch 与外部可读目录	MVP 直接必须	读取并冻结目录身份；不得重建 MES 事实。	仅展示服务端已接受的 Demand 摘要，不自行读取 MES。	需要携带已接受执行身份和必要来源修订，不复制 MesIngest DTO。	FP-B0 批次 0 候选（MVP 已覆盖）	MVP 剖面 FinalClassification=MVP 直接必须	BATCH-0		BATCH-0	
REQ-0032	WatchDemandProjection 包含全部 Demand、原始观测、实时字段、当前条件和资格，不按…	8005 MesIngest Windows Service、Host/领域投影、SQL Server、版本化 API/OpenAPI、MesIngestWatch 与外部可读目录	本场景不适用	无首期实现影响；只保留为基线追溯，禁止误删原需求。	无首期实现影响；只保留为基线追溯，禁止误删原需求。	不进入 ProtocolVersion 1；不得为范围外能力预留未定义消息。	OOS-MI-3 MesIngest 服务与外部可读目录	OriginalScope 归 MesIngest 服务/Host/SQL/API	OUT-OF-SCOPE		OUT-OF-SCOPE	
REQ-0033	ReadabilityAuditSnapshot 绑定 ProjectionCommit 身份并携带当时 C…	8005 MesIngest Windows Service、Host/领域投影、SQL Server、版本化 API/OpenAPI、MesIngestWatch 与外部可读目录	本场景不适用	无首期实现影响；只保留为基线追溯，禁止误删原需求。	无首期实现影响；只保留为基线追溯，禁止误删原需求。	不进入 ProtocolVersion 1；不得为范围外能力预留未定义消息。	OOS-MI-3 MesIngest 服务与外部可读目录	OriginalScope 归 MesIngest 服务/Host/SQL/API	OUT-OF-SCOPE		OUT-OF-SCOPE	
REQ-0034	资格审计的筛选、精确计数、分面、稳定顺序、分页和详情均在 Host 端基于同一快照完成。默认 100、最大 …	8005 MesIngest Windows Service、Host/领域投影、SQL Server、版本化 API/OpenAPI、MesIngestWatch 与外部可读目录	本场景不适用	无首期实现影响；只保留为基线追溯，禁止误删原需求。	无首期实现影响；只保留为基线追溯，禁止误删原需求。	不进入 ProtocolVersion 1；不得为范围外能力预留未定义消息。	OOS-MI-3 MesIngest 服务与外部可读目录	OriginalScope 归 MesIngest 服务/Host/SQL/API	OUT-OF-SCOPE		OUT-OF-SCOPE	
REQ-0035	ErrorSearchSnapshot 由 Host 在 ErrorSearchAsOf 从永久 Deman…	8005 MesIngest Windows Service、Host/领域投影、SQL Server、版本化 API/OpenAPI、MesIngestWatch 与外部可读目录	本场景不适用	无首期实现影响；只保留为基线追溯，禁止误删原需求。	无首期实现影响；只保留为基线追溯，禁止误删原需求。	不进入 ProtocolVersion 1；不得为范围外能力预留未定义消息。	OOS-MI-3 MesIngest 服务与外部可读目录	OriginalScope 归 MesIngest 服务/Host/SQL/API	OUT-OF-SCOPE		OUT-OF-SCOPE	
REQ-0036	错误历史查询结果按 DemandSeries 去重，固定 ACTIVE 优先、最近证据降序、SeriesId…	8005 MesIngest Windows Service、Host/领域投影、SQL Server、版本化 API/OpenAPI、MesIngestWatch 与外部可读目录	本场景不适用	无首期实现影响；只保留为基线追溯，禁止误删原需求。	无首期实现影响；只保留为基线追溯，禁止误删原需求。	不进入 ProtocolVersion 1；不得为范围外能力预留未定义消息。	OOS-MI-3 MesIngest 服务与外部可读目录	OriginalScope 归 MesIngest 服务/Host/SQL/API	OUT-OF-SCOPE		OUT-OF-SCOPE	
REQ-0037	CurrentIngestAttention 只表示当前运维关注，可投影活动 Series 错误、PollR…	8005 MesIngest Windows Service、Host/领域投影、SQL Server、版本化 API/OpenAPI、MesIngestWatch 与外部可读目录	首期延后	仅在试运行门禁中消费健康/契约身份。	无 MesIngestWatch 页面实现。	通常无；健康身份只在诊断证据中引用。	OOS-MI-3 MesIngest 服务与外部可读目录	OriginalScope 归 MesIngest 服务/Host/SQL/API	OUT-OF-SCOPE		OUT-OF-SCOPE	
REQ-0038	WatchOverviewSnapshot 由 Host 从一个 ProjectionCommit 原子计算…	8005 MesIngest Windows Service、Host/领域投影、SQL Server、版本化 API/OpenAPI、MesIngestWatch 与外部可读目录	本场景不适用	无首期实现影响；只保留为基线追溯，禁止误删原需求。	无首期实现影响；只保留为基线追溯，禁止误删原需求。	不进入 ProtocolVersion 1；不得为范围外能力预留未定义消息。	OOS-MI-3 MesIngest 服务与外部可读目录	OriginalScope 归 MesIngest 服务/Host/SQL/API	OUT-OF-SCOPE		OUT-OF-SCOPE	
REQ-0039	OverviewAttentionEvent 只来自真实领域转换；概览返回最近 24 小时最新五条，不用静态…	8005 MesIngest Windows Service、Host/领域投影、SQL Server、版本化 API/OpenAPI、MesIngestWatch 与外部可读目录	本场景不适用	无首期实现影响；只保留为基线追溯，禁止误删原需求。	无首期实现影响；只保留为基线追溯，禁止误删原需求。	不进入 ProtocolVersion 1；不得为范围外能力预留未定义消息。	OOS-MI-3 MesIngest 服务与外部可读目录	OriginalScope 归 MesIngest 服务/Host/SQL/API	OUT-OF-SCOPE		OUT-OF-SCOPE	
REQ-0040	Host 提供版本化契约发现、Poll 健康/证据、概览、DemandSeries 列表与详情、Demand…	8005 MesIngest Windows Service、Host/领域投影、SQL Server、版本化 API/OpenAPI、MesIngestWatch 与外部可读目录	MVP 直接必须	仅在试运行门禁中消费健康/契约身份。	无 MesIngestWatch 页面实现。	通常无；健康身份只在诊断证据中引用。	FP-B0 批次 0 候选（MVP 已覆盖）	MVP 剖面 FinalClassification=MVP 直接必须	BATCH-0		BATCH-0	
REQ-0041	所有历史和审计读取在 Host 端筛选、计数、稳定排序及有界分页。Watch 不下载全表，不用当前页计算总数…	8005 MesIngest Windows Service、Host/领域投影、SQL Server、版本化 API/OpenAPI、MesIngestWatch 与外部可读目录	本场景不适用	无首期实现影响；只保留为基线追溯，禁止误删原需求。	无首期实现影响；只保留为基线追溯，禁止误删原需求。	不进入 ProtocolVersion 1；不得为范围外能力预留未定义消息。	OOS-MI-3 MesIngest 服务与外部可读目录	OriginalScope 归 MesIngest 服务/Host/SQL/API	OUT-OF-SCOPE		OUT-OF-SCOPE	
REQ-0042	Watch 维持单 Host 会话。应用新 Host 或凭据时取消旧请求、提升会话代次、清空全部业务快照和选…	8005 MesIngest Windows Service、Host/领域投影、SQL Server、版本化 API/OpenAPI、MesIngestWatch 与外部可读目录	本场景不适用	无首期实现影响；只保留为基线追溯，禁止误删原需求。	无首期实现影响；只保留为基线追溯，禁止误删原需求。	不进入 ProtocolVersion 1；不得为范围外能力预留未定义消息。	OOS-MI-3 MesIngest 服务与外部可读目录	OriginalScope 归 MesIngest 服务/Host/SQL/API	OUT-OF-SCOPE		OUT-OF-SCOPE	
REQ-0043	Watch 使用 WPF UI 4.x 和既定 Fluent 设计系统。已选信息架构以及需求系列/资格审计方…	8005 MesIngest Windows Service、Host/领域投影、SQL Server、版本化 API/OpenAPI、MesIngestWatch 与外部可读目录	本场景不适用	无首期实现影响；只保留为基线追溯，禁止误删原需求。	无首期实现影响；只保留为基线追溯，禁止误删原需求。	不进入 ProtocolVersion 1；不得为范围外能力预留未定义消息。	OOS-MI-3 MesIngest 服务与外部可读目录	OriginalScope 归 MesIngest 服务/Host/SQL/API	OUT-OF-SCOPE		OUT-OF-SCOPE	
REQ-0044	AreaFilterProfile 是当前 Windows 用户的本地 TXT-backed 命名配置。它只…	8005 MesIngest Windows Service、Host/领域投影、SQL Server、版本化 API/OpenAPI、MesIngestWatch 与外部可读目录	本场景不适用	无首期实现影响；只保留为基线追溯，禁止误删原需求。	无首期实现影响；只保留为基线追溯，禁止误删原需求。	不进入 ProtocolVersion 1；不得为范围外能力预留未定义消息。	OOS-MI-3 MesIngest 服务与外部可读目录	OriginalScope 归 MesIngest 服务/Host/SQL/API	OUT-OF-SCOPE		OUT-OF-SCOPE	
REQ-0045	Watch 所有数据视图自动刷新始终开启；设置只调整间隔。刷新采用成功快照原子替换，加载/失败保留上一成功快…	8005 MesIngest Windows Service、Host/领域投影、SQL Server、版本化 API/OpenAPI、MesIngestWatch 与外部可读目录	本场景不适用	无首期实现影响；只保留为基线追溯，禁止误删原需求。	无首期实现影响；只保留为基线追溯，禁止误删原需求。	不进入 ProtocolVersion 1；不得为范围外能力预留未定义消息。	OOS-MI-3 MesIngest 服务与外部可读目录	OriginalScope 归 MesIngest 服务/Host/SQL/API	OUT-OF-SCOPE		OUT-OF-SCOPE	
REQ-0046	Watch 业务 API 保持只读。若保留 WatchRefreshTrace，则只能通过独立受控入口追加白…	8005 MesIngest Windows Service、Host/领域投影、SQL Server、版本化 API/OpenAPI、MesIngestWatch 与外部可读目录	本场景不适用	无首期实现影响；只保留为基线追溯，禁止误删原需求。	无首期实现影响；只保留为基线追溯，禁止误删原需求。	不进入 ProtocolVersion 1；不得为范围外能力预留未定义消息。	OOS-MI-3 MesIngest 服务与外部可读目录	OriginalScope 归 MesIngest 服务/Host/SQL/API	OUT-OF-SCOPE		OUT-OF-SCOPE	
REQ-0047	SQL Server schema、API、DTO、OpenAPI、Host、Watch 和外部消费者作为一…	8005 MesIngest Windows Service、Host/领域投影、SQL Server、版本化 API/OpenAPI、MesIngestWatch 与外部可读目录	MVP 交互／安全依赖	仅在试运行门禁中消费健康/契约身份。	无 MesIngestWatch 页面实现。	通常无；健康身份只在诊断证据中引用。	FP-B0 批次 0 候选（MVP 已覆盖）	MVP 剖面 FinalClassification=MVP 交互／安全依赖	BATCH-0		BATCH-0	
REQ-0048	按 ADR-mes-0017 执行空库切换：人工确认目标、停机和备份后删除旧数据库，由新 Host 建立新 …	8005 MesIngest Windows Service、Host/领域投影、SQL Server、版本化 API/OpenAPI、MesIngestWatch 与外部可读目录	本场景不适用	无首期实现影响；只保留为基线追溯，禁止误删原需求。	无首期实现影响；只保留为基线追溯，禁止误删原需求。	不进入 ProtocolVersion 1；不得为范围外能力预留未定义消息。	OOS-MI-3 MesIngest 服务与外部可读目录	OriginalScope 归 MesIngest 服务/Host/SQL/API	OUT-OF-SCOPE		OUT-OF-SCOPE	
REQ-0049	新系统不迁移旧 TransportDemand、冻结字段、IngestAlert incident、Dema…	8005 MesIngest Windows Service、Host/领域投影、SQL Server、版本化 API/OpenAPI、MesIngestWatch 与外部可读目录	本场景不适用	无首期实现影响；只保留为基线追溯，禁止误删原需求。	无首期实现影响；只保留为基线追溯，禁止误删原需求。	不进入 ProtocolVersion 1；不得为范围外能力预留未定义消息。	OOS-MI-3 MesIngest 服务与外部可读目录	OriginalScope 归 MesIngest 服务/Host/SQL/API	OUT-OF-SCOPE		OUT-OF-SCOPE	
